// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
07667		9.116972	-0.290075	-2.818739	0.005614	-0.008957	-0.004369	-0.202393	-0.152344	0.750488	-175.683626	-70.280938	16.614797
07668		9.084419	-0.264927	-2.808197	0.004050	-0.013815	-0.006513	-0.198975	-0.149170	0.744385	-175.715718	-70.284079	16.650549
07669		9.097962	-0.300526	-2.847622	-0.000743	-0.007841	-0.007882	-0.208008	-0.155029	0.754883	-175.728229	-70.278731	16.668191
07670		9.105838	-0.275005	-2.775556	-0.007314	-0.006451	-0.009435	-0.204834	-0.145996	0.744385	-175.770293	-70.286360	16.707225
07671		9.087246	-0.285342	-2.803095	-0.008292	-0.007662	-0.009598	-0.215820	-0.146240	0.747314	-175.789831	-70.281181	16.727736
07672		9.119321	-0.309339	-2.815327	-0.002326	-0.006341	-0.004267	-0.199219	-0.155273	0.747803	-175.820356	-70.288868	16.759185
07673		9.142730	-0.304068	-2.812066	-0.002149	-0.008504	-0.004124	-0.209473	-0.157959	0.747070	-175.827735	-70.282974	16.770518
07674		9.140766	-0.263961	-2.850535	-0.008506	-0.007388	-0.007636	-0.199219	-0.147949	0.744629	-175.867317	-70.289871	16.805533
07675		9.165965	-0.297983	-2.809462	-0.008387	-0.005086	0.000368	-0.209473	-0.155273	0.743164	-175.870699	-70.285742	16.808824
07676		9.128332	-0.266441	-2.775623	-0.008032	-0.009412	0.000655	-0.204834	-0.156738	0.744629	-175.896550	-70.291054	16.831935
07677		9.118300	-0.307394	-2.818847	-0.007269	-0.007928	0.002779	-0.206787	-0.147949	0.747314	-175.895767	-70.285200	16.831482
07678		9.091009	-0.289367	-2.830852	-0.006506	-0.006445	0.004902	-0.196777	-0.158691	0.743164	-175.913318	-70.292120	16.845625
07679		9.094349	-0.312435	-2.823876	-0.014410	-0.001940	0.002904	-0.206543	-0.141846	0.739502	-175.915738	-70.289684	16.844229
07680		9.139832	-0.318997	-2.785797	-0.009895	0.000194	-0.000221	-0.206299	-0.146484	0.745850	-175.942297	-70.300309	16.868118
07681		9.121394	-0.330236	-2.812696	-0.004477	-0.000243	0.001023	-0.197998	-0.154297	0.744629	-175.941833	-70.298919	16.869704
07682		9.151976	-0.371329	-2.793886	-0.003463	0.002858	-0.000917	-0.211426	-0.152100	0.748779	-175.965171	-70.311189	16.892711
07683		9.126521	-0.336531	-2.835803	0.003268	-0.008939	-0.002882	-0.201904	-0.152100	0.744873	-175.967483	-70.304986	16.901959
07684		9.144720	-0.325096	-2.809709	0.005186	-0.008409	-0.000452	-0.204346	-0.149414	0.738525	-175.986110	-70.310982	16.923677
07685		9.125993	-0.336455	-2.837513	0.002468	-0.012312	-0.002901	-0.199463	-0.156494	0.745850	-175.989281	-70.302851	16.933350
07686		9.129091	-0.303570	-2.899068	0.009663	-0.008165	-0.001475	-0.198730	-0.149658	0.754395	-176.006672	-70.308684	16.958225
07687		9.100129	-0.302105	-2.880634	0.015881	-0.005228	-0.000212	-0.208008	-0.150635	0.753418	-175.997068	-70.304494	16.962492
07688		9.096550	-0.279496	-2.888312	0.014550	-0.002113	-0.000660	-0.206055	-0.148682	0.741211	-176.009185	-70.314006	16.982187
07689		9.097718	-0.209070	-2.830369	0.007800	0.001439	-0.002352	-0.203857	-0.153320	0.744385	-176.006888	-70.313712	16.989296
07690		9.104711	-0.255159	-2.815437	0.003109	0.001469	0.000631	-0.213135	-0.147949	0.750488	-176.023037	-70.324992	17.008906
07691		9.116284	-0.197731	-2.803113	-0.002486	0.004068	-0.000756	-0.207764	-0.149414	0.741699	-176.023793	-70.326136	17.012999
07692		9.111689	-0.245113	-2.868306	-0.006395	-0.000774	-0.001406	-0.198975	-0.144287	0.743164	-176.048591	-70.336473	17.034774
07693		9.091574	-0.272645	-2.864813	-0.002095	0.001632	-0.002572	-0.206299	-0.149414	0.745605	-176.052302	-70.336297	17.042242
07694		9.105370	-0.308726	-2.903318	-0.002168	-0.002148	0.001635	-0.206055	-0.150635	0.748535	-176.069642	-70.345263	17.060971
07695		9.122012	-0.313802	-2.846488	-0.002968	-0.005522	0.001616	-0.208252	-0.137695	0.743408	-176.067941	-70.340832	17.062161
07696		9.116687	-0.307105	-2.824090	-0.002541	-0.006067	-0.002304	-0.214844	-0.154785	0.749268	-176.091881	-70.347905	17.087061
07697		9.089401	-0.288756	-2.836071	-0.009400	-0.008186	0.002315	-0.203125	-0.151367	0.745117	-176.093032	-70.341923	17.087367
07698		9.080501	-0.259167	-2.821376	-0.007091	-0.010091	0.002927	-0.204102	-0.144287	0.744385	-176.111581	-70.346554	17.100353
07699		9.085436	-0.265716	-2.845025	-0.010732	-0.005070	0.001867	-0.206055	-0.150879	0.742920	-176.113868	-70.342371	17.101053
07700		9.108861	-0.260506	-2.841728	-0.009914	-0.008050	-0.003870	-0.193115	-0.152832	0.747803	-176.144295	-70.348095	17.128619
07701		9.123622	-0.225701	-2.822987	-0.015031	-0.007476	0.003037	-0.206299	-0.150391	0.750000	-176.147426	-70.342491	17.127600
07702		9.108469	-0.259975	-2.843033	-0.014231	-0.004103	0.003057	-0.204102	-0.151611	0.747314	-176.168548	-70.350052	17.140592
07703		9.108320	-0.259961	-2.843513	-0.009790	-0.005750	0.004135	-0.202637	-0.151123	0.738281	-176.166725	-70.345393	17.137502
07704		9.103507	-0.307548	-2.909279	-0.004300	-0.002406	0.001169	-0.201416	-0.154297	0.744385	-176.184842	-70.353992	17.154781
07705		9.132183	-0.309413	-2.928549	0.001119	-0.002844	0.002408	-0.199463	-0.152832	0.743164	-176.179220	-70.351060	17.154293
07706		9.113288	-0.323041	-2.799404	0.005347	-0.004219	0.005446	-0.204834	-0.146484	0.749023	-176.184876	-70.358295	17.163619
07707		9.140137	-0.285738	-2.856406	-0.004513	-0.002134	0.003130	-0.207031	-0.158203	0.744629	-176.181250	-70.355742	17.161825
07708		9.107749	-0.261173	-2.845232	0.000495	-0.008379	0.002533	-0.213135	-0.155518	0.746582	-176.194471	-70.361041	17.174539
07709		9.112658	-0.267993	-2.868898	-0.003004	-0.007412	0.003721	-0.197266	-0.151123	0.743164	-176.189594	-70.355448	17.172334
07710		9.110782	-0.284695	-2.839229	-0.006503	-0.006444	0.004910	-0.197021	-0.147705	0.751465	-176.202595	-70.361619	17.181114
