// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
07737		-5.188913	-2.890143	7.866019	-0.002204	0.003370	-0.002994	-0.478027	-0.050049	-0.516113	-20.205931	31.553742	-155.728836
07738		-5.189486	-2.908205	7.848925	-0.000288	0.008438	-0.004930	-0.469482	-0.054688	-0.512939	-20.206127	31.555333	-155.730846
07739		-5.184383	-2.931939	7.873350	-0.002204	0.003369	-0.002994	-0.470703	-0.052246	-0.517334	-20.206083	31.553835	-155.730367
07740		-5.170134	-2.901018	7.875322	-0.000926	0.006748	-0.004284	-0.465332	-0.055420	-0.512451	-20.206230	31.554651	-155.731307
07741		-5.190095	-2.891434	7.864765	-0.002645	0.001332	-0.004643	-0.459717	-0.052002	-0.518066	-20.206735	31.551731	-155.731395
07742		-5.190395	-2.909624	7.847797	-0.001368	0.004710	-0.005933	-0.467773	-0.057129	-0.519287	-20.207430	31.551146	-155.733227
07743		-5.204522	-2.888099	7.895427	-0.003328	0.005946	-0.006734	-0.468750	-0.053711	-0.511719	-20.209578	31.550294	-155.735705
07744		-5.156988	-2.924808	7.826210	-0.000486	0.004266	-0.004385	-0.467285	-0.060791	-0.510010	-20.209202	31.549753	-155.736585
07745		-5.205175	-2.906713	7.878068	-0.002249	0.005153	-0.007480	-0.459961	-0.054688	-0.513184	-20.210882	31.548327	-155.739350
07746		-5.157222	-2.907751	7.842411	0.000198	0.004170	-0.000543	-0.474121	-0.061523	-0.507813	-20.208833	31.548486	-155.738219
