// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
24760		-3.281916	-0.028677	9.421580	-0.004507	0.002831	0.002665	0.340332	1.061523	-0.427490	-0.145478	19.125529	-91.338099
24761		-3.269695	-0.034319	9.389696	-0.008988	0.005423	-0.001677	0.334717	1.062012	-0.425537	-0.149673	19.129128	-91.339603
24762		-3.262863	-0.035261	9.448824	-0.002624	0.007297	0.000715	0.337646	1.057861	-0.429932	-0.149584	19.133691	-91.341208
24763		-3.283414	-0.030152	9.421053	-0.004046	0.003540	0.000610	0.336182	1.062744	-0.427002	-0.150418	19.136198	-91.341311
24764		-3.254547	-0.068059	9.457249	-0.004110	0.002151	0.001350	0.327148	1.066162	-0.415039	-0.151051	19.137814	-91.342523
24765		-3.272977	-0.004098	9.439772	-0.004507	0.002831	0.002664	0.328369	1.055176	-0.423340	-0.152177	19.139949	-91.343488
24766		-3.262273	-0.022933	9.428194	-0.002087	0.000381	0.001045	0.337646	1.058838	-0.429199	-0.151711	19.140550	-91.344883
24767		-3.271736	-0.036362	9.388978	-0.005236	0.005580	0.004554	0.333740	1.058594	-0.422852	-0.152481	19.144197	-91.344001
24768		-3.284815	-0.031711	9.420560	-0.003584	0.004250	-0.001443	0.332520	1.061279	-0.421387	-0.153371	19.147011	-91.346911
24769		-3.252608	-0.042419	9.416254	-0.003149	0.005198	0.003509	0.332764	1.070557	-0.426270	-0.153377	19.150504	-91.346136
24770		-3.263862	-0.024192	9.427641	-0.005735	0.003242	0.000341	0.332764	1.060791	-0.432617	-0.155144	19.152743	-91.347962
