// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
20589		9.514355	0.063536	2.213740	-0.002652	0.004430	-0.003055	-0.939453	-0.219727	0.649414	1.418744	-77.051326	175.004667
20590		9.505148	0.051478	2.233191	-0.002652	0.004430	-0.003055	-0.936279	-0.219727	0.642334	1.422322	-77.051315	174.998144
20591		9.527693	0.047377	2.241688	-0.003063	0.003876	-0.001096	-0.938477	-0.217285	0.647949	1.420250	-77.051873	175.000885
20592		9.504977	0.051663	2.233913	-0.004128	0.002944	-0.001681	-0.940918	-0.221924	0.652344	1.418953	-77.052604	175.003488
20593		9.504905	0.051693	2.234221	-0.000976	0.003516	-0.000146	-0.941406	-0.224609	0.642578	1.415731	-77.053381	175.008637
20594		9.513880	0.063926	2.215769	-0.007557	0.008489	-0.000599	-0.942139	-0.212646	0.640137	1.410136	-77.050933	175.008392
20595		9.527280	0.047566	2.243435	-0.002286	0.002761	-0.005234	-0.937500	-0.218018	0.643799	1.418888	-77.052070	175.000484
20596		9.504578	0.052057	2.235604	-0.004129	0.002944	-0.001682	-0.940918	-0.217285	0.644531	1.416804	-77.052541	175.007903
20597		9.527116	0.047979	2.244123	-0.003673	0.005723	-0.003421	-0.942383	-0.222656	0.656738	1.420062	-77.052007	175.004817
20598		9.504371	0.052351	2.236476	-0.003063	0.003876	-0.001097	-0.945068	-0.212891	0.651611	1.418006	-77.052349	175.006971
20599		9.536049	0.060371	2.225862	-0.004540	0.002390	0.000276	-0.932373	-0.225830	0.647949	1.411760	-77.053777	175.013128
20600		9.514119	0.043882	2.205116	-0.001997	0.004808	-0.000511	-0.945068	-0.219238	0.644287	1.408839	-77.053654	175.017329
20601		9.513249	0.064693	2.218453	-0.004783	0.002567	-0.004227	-0.939697	-0.214111	0.644287	1.413665	-77.054917	175.011982
20602		9.513971	0.044102	2.205751	-0.003474	0.003322	0.000862	-0.941895	-0.223877	0.650146	1.405751	-77.055231	175.023669
20603		9.535715	0.060646	2.227286	-0.001175	0.005918	-0.004430	-0.946533	-0.218018	0.644287	1.412942	-77.054571	175.018017
20604		9.490347	0.069457	2.211471	-0.004783	0.002568	-0.004228	-0.944336	-0.228027	0.648193	1.417762	-77.055339	175.011211
20605		9.522819	0.057150	2.187871	-0.003717	0.003500	-0.003643	-0.943115	-0.221191	0.648193	1.421684	-77.056075	175.007418
20606		9.502896	0.073999	2.252334	-0.003019	0.006101	-0.000878	-0.941895	-0.215332	0.654297	1.419663	-77.054942	175.004819
20607		9.536156	0.040809	2.215784	-0.004173	0.000721	-0.001904	-0.939453	-0.223389	0.645508	1.419163	-77.057294	175.005295
