// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
46213		-1.997899	-9.559816	1.265082	-0.002919	-0.002347	0.002895	-1.161865	0.784180	0.118896	-82.788239	11.517324	75.496960
46214		-1.992397	-9.523222	1.244523	-0.000423	-0.001325	-0.001826	-1.163330	0.785156	0.109863	-82.786751	11.515820	75.497402
46215		-1.988091	-9.555347	1.217280	-0.000224	0.003414	0.000290	-1.160645	0.787354	0.111084	-82.785385	11.516962	75.495728
46216		-2.026917	-9.556304	1.234002	-0.004379	0.001754	0.001475	-1.159424	0.778320	0.113770	-82.786472	11.517556	75.494626
46217		-2.005582	-9.571885	1.211661	-0.000757	-0.001479	0.001477	-1.158447	0.780273	0.113525	-82.784824	11.519005	75.494803
46218		-2.005081	-9.537532	1.214792	-0.004379	0.001754	0.001475	-1.159180	0.780029	0.116699	-82.785911	11.519599	75.493701
46219		-2.005146	-9.537558	1.214479	-0.001994	-0.000791	-0.000234	-1.160645	0.777588	0.121094	-82.785102	11.520060	75.494672
46220		-2.015598	-9.576445	1.258455	-0.004155	-0.001660	0.001184	-1.164307	0.780273	0.114258	-82.785670	11.520244	75.495529
46221		-2.027502	-9.556354	1.232653	-0.001739	0.000456	0.003244	-1.159668	0.783691	0.115723	-82.784832	11.522694	75.497245
46222		-2.032551	-9.558614	1.256159	-0.004212	0.001832	-0.000176	-1.155029	0.778076	0.117188	-82.785857	11.522355	75.495977
46223		-2.022935	-9.554120	1.208152	-0.003143	0.001067	0.003185	-1.156738	0.783447	0.118896	-82.785869	11.524916	75.496785
46224		-2.011458	-9.574192	1.233426	-0.002161	-0.000868	0.001418	-1.158691	0.780762	0.117188	-82.785383	11.525289	75.497200
46225		-1.989495	-9.555411	1.214483	-0.002385	0.002546	0.001709	-1.162598	0.782959	0.108398	-82.785158	11.527131	75.497941
46226		-2.011148	-9.539826	1.236359	-0.001571	0.000533	0.001593	-1.154297	0.776123	0.117676	-82.784493	11.527705	75.497557
46227		-2.028524	-9.556340	1.231080	-0.002162	-0.000868	0.001418	-1.156006	0.775146	0.112549	-82.783740	11.529077	75.497288
46228		-1.995559	-9.592025	1.234022	-0.007945	0.001497	0.002834	-1.159180	0.787354	0.115479	-82.786821	11.530426	75.496436
46229		-2.011641	-9.539868	1.235229	-0.001404	0.000611	-0.000059	-1.160156	0.783691	0.111572	-82.785822	11.531107	75.495865
46230		-2.023990	-9.554167	1.206017	-0.004212	0.001832	-0.000176	-1.161377	0.787598	0.115234	-82.786847	11.530768	75.494597
46231		-1.995143	-9.557769	1.236278	-0.002975	0.001144	0.001534	-1.158447	0.776611	0.117676	-82.786770	11.532462	75.493874
46232		-2.046341	-9.572977	1.224099	-0.002162	-0.000868	0.001418	-1.152344	0.790039	0.123047	-82.786283	11.532835	75.494290
46233		-1.995428	-9.557774	1.235781	-0.002975	0.001144	0.001534	-1.165283	0.781982	0.112549	-82.786243	11.534502	75.497236
46234		-2.024439	-9.554210	1.204920	-0.001404	0.000611	-0.000059	-1.161621	0.787109	0.118164	-82.785516	11.534142	75.496685
46235		-2.012827	-9.574327	1.230145	-0.004379	0.001755	0.001475	-1.158447	0.779297	0.118652	-82.786336	11.535770	75.496808
46236		-1.990273	-9.521206	1.214367	-0.005137	0.000275	0.002952	-1.163086	0.773682	0.115479	-82.787665	11.537098	75.496673
46237		-2.029878	-9.556523	1.227422	-0.005193	0.003767	0.001592	-1.154541	0.775879	0.110596	-82.789228	11.538756	75.495834
46238		-2.013457	-9.574382	1.228679	-0.003566	-0.000258	0.001359	-1.161133	0.782227	0.110840	-82.789618	11.539140	75.495892
46239		-2.008803	-9.572107	1.204553	-0.002553	0.002468	0.003361	-1.156494	0.784424	0.110107	-82.789443	11.541828	75.492188
46240		-2.030520	-9.556535	1.226265	-0.004970	0.000353	0.001301	-1.163330	0.780029	0.116943	-82.790709	11.542222	75.491887
46241		-2.014144	-9.574382	1.227558	-0.003733	-0.000335	0.003011	-1.162598	0.766846	0.116211	-82.790894	11.544550	75.491900
46242		-2.014366	-9.574377	1.227229	-0.002975	0.001144	0.001534	-1.161865	0.783691	0.114502	-82.791106	11.545134	75.491157
46243		-2.008932	-9.537767	1.206554	-0.001627	0.004025	0.000233	-1.160400	0.780029	0.121826	-82.790681	11.545983	75.489082
46244		-1.993246	-9.589946	1.204539	-0.004491	-0.001815	0.004487	-1.156982	0.787109	0.120850	-82.791375	11.548032	75.490272
46245		-2.031447	-9.556550	1.224611	-0.002050	0.002701	-0.001593	-1.160889	0.785400	0.112305	-82.791051	11.547976	75.492802
46246		-1.997726	-9.557882	1.231225	-0.001739	0.000455	0.003244	-1.157959	0.778320	0.117432	-82.790449	11.549482	75.492585
46247		-2.048381	-9.538693	1.222463	-0.002385	0.002546	0.001710	-1.156006	0.771729	0.116943	-82.790227	11.551257	75.491471
46248		-2.009747	-9.537760	1.205254	-0.001994	-0.000791	-0.000234	-1.162109	0.779297	0.118652	-82.789678	11.550697	75.491721
46249		-2.010488	-9.572132	1.201541	-0.003789	0.003157	0.001651	-1.159668	0.779785	0.112549	-82.790379	11.552311	75.491435
46250		-2.032204	-9.556563	1.223255	-0.003734	-0.000335	0.003011	-1.160400	0.787842	0.110596	-82.790832	11.553628	75.491660
46251		-1.993614	-9.555625	1.206011	-0.001994	-0.000791	-0.000234	-1.168457	0.776611	0.115479	-82.790003	11.554107	75.490580
