// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
63464		9.250369	-0.331734	-2.291396	0.002497	-0.004041	-0.000851	-0.279053	-0.167480	0.731445	-174.299085	-75.134684	-22.312846
63465		9.270310	-0.319832	-2.317182	-0.001144	-0.000907	-0.001858	-0.277588	-0.167236	0.730713	-174.302216	-75.132779	-22.304754
63466		9.281435	-0.372626	-2.309636	0.001161	-0.000946	-0.000318	-0.276855	-0.164551	0.733154	-174.286823	-75.133742	-22.313871
63467		9.254134	-0.338464	-2.268725	-0.004610	0.000078	-0.003078	-0.279541	-0.176270	0.725342	-174.294350	-75.132468	-22.303285
63468		9.277788	-0.349345	-2.301977	-0.005454	0.000434	0.001165	-0.280762	-0.169189	0.736328	-174.279339	-75.134128	-22.316471
63469		9.277628	-0.364876	-2.332634	-0.009079	0.001715	-0.002018	-0.277100	-0.168213	0.735107	-174.286797	-75.133727	-22.308605
63470		9.285318	-0.378944	-2.286561	-0.006439	-0.000769	0.001270	-0.281006	-0.169434	0.723633	-174.272418	-75.134698	-22.321296
63471		9.301658	-0.344344	-2.304407	-0.004309	0.001341	0.003023	-0.272217	-0.175049	0.734619	-174.266399	-75.133796	-22.324547
63472		9.309171	-0.374448	-2.288977	-0.006615	0.001380	0.001484	-0.279053	-0.171387	0.729492	-174.251323	-75.135926	-22.338789
63473		9.285362	-0.378997	-2.286375	-0.005613	0.000729	-0.000797	-0.279297	-0.171631	0.730713	-174.254387	-75.134895	-22.333415
63474		9.281519	-0.371832	-2.309424	-0.004134	-0.000808	0.002809	-0.273438	-0.167480	0.729980	-174.235511	-75.135740	-22.349949
63475		9.257693	-0.376573	-2.306859	-0.002322	0.001892	0.000638	-0.275635	-0.168457	0.721680	-174.233357	-75.135290	-22.348023
63476		9.257793	-0.376595	-2.306453	-0.003833	0.007135	0.001386	-0.282715	-0.171387	0.732422	-174.215815	-75.140631	-22.362621
63477		9.257893	-0.376515	-2.306065	-0.006773	0.001676	-0.000478	-0.284912	-0.173584	0.732910	-174.218656	-75.140121	-22.358166
63478		9.254275	-0.353636	-2.298218	-0.002163	0.001596	0.002600	-0.282959	-0.171631	0.732666	-174.198565	-75.142418	-22.374832
63479		9.254144	-0.369366	-2.328748	-0.003641	0.003134	-0.001005	-0.280029	-0.172852	0.730713	-174.200427	-75.142770	-22.369533
63480		9.254382	-0.353552	-2.297803	-0.004468	0.001636	0.001061	-0.277588	-0.164795	0.728516	-174.185073	-75.145116	-22.382673
63481		9.282088	-0.356043	-2.277137	-0.007776	0.002326	0.001804	-0.278809	-0.173096	0.733643	-174.183445	-75.144845	-22.383437
63482		9.258110	-0.376404	-2.305212	-0.006615	0.001380	0.001485	-0.279297	-0.169189	0.728027	-174.168613	-75.146937	-22.396872
63483		9.301953	-0.359911	-2.333247	-0.009747	-0.000079	0.002013	-0.280762	-0.169434	0.729492	-174.168193	-75.145283	-22.397554
63484		9.302185	-0.344086	-2.302317	-0.008109	0.004770	0.000058	-0.275391	-0.174316	0.735107	-174.156558	-75.149410	-22.408666
63485		9.282270	-0.355706	-2.276449	-0.013388	0.003055	0.001010	-0.284424	-0.176514	0.731201	-174.159693	-75.149600	-22.407829
63486		9.254613	-0.353056	-2.296947	-0.015027	-0.001795	0.002966	-0.282959	-0.172607	0.729248	-174.147258	-75.149822	-22.424633
63487		9.254596	-0.353186	-2.296994	-0.015060	0.001909	0.007322	-0.278076	-0.174805	0.723877	-174.138034	-75.148990	-22.437573
63488		9.258225	-0.376386	-2.304754	-0.008270	-0.001619	0.005620	-0.285645	-0.172607	0.727783	-174.116056	-75.149138	-22.460128
63489		9.234326	-0.381179	-2.302475	-0.006265	-0.002917	0.001056	-0.281006	-0.166992	0.723145	-174.116331	-75.145923	-22.458027
63490		9.257883	-0.392258	-2.336110	-0.007093	-0.004417	0.003123	-0.277832	-0.165771	0.721191	-174.099668	-75.144650	-22.473811
63491		9.281621	-0.387847	-2.338971	0.000492	-0.002742	0.003708	-0.280518	-0.166016	0.733154	-174.090337	-75.141379	-22.477642
63492		9.281786	-0.372345	-2.308269	0.003133	0.001459	-0.000528	-0.276855	-0.172607	0.730225	-174.074518	-75.143571	-22.485942
63493		9.281713	-0.372617	-2.308519	0.003146	-0.007079	0.004815	-0.271973	-0.169922	0.731201	-174.062263	-75.137762	-22.491225
63494		9.277910	-0.350271	-2.301346	0.000825	-0.005187	0.005455	-0.278809	-0.169922	0.729736	-174.036559	-75.135731	-22.511874
63495		9.277357	-0.382065	-2.363465	-0.005599	-0.007807	0.004550	-0.275146	-0.174561	0.727783	-174.030063	-75.129521	-22.516384
63496		9.266249	-0.313944	-2.340927	-0.005456	-0.006253	0.008691	-0.274414	-0.169678	0.730225	-174.001266	-75.126723	-22.544134
63497		9.249558	-0.364908	-2.354313	-0.012404	-0.002428	0.008435	-0.282471	-0.164307	0.738525	-173.989140	-75.123345	-22.558504
63498		9.249488	-0.365409	-2.354510	-0.009271	-0.000970	0.007907	-0.283936	-0.176758	0.729248	-173.963055	-75.123617	-22.584805
63499		9.249660	-0.350154	-2.323803	-0.008444	0.000530	0.005840	-0.272705	-0.174072	0.727051	-173.953562	-75.122078	-22.594102
63500		9.280981	-0.375911	-2.310927	-0.014072	0.003112	0.007227	-0.275879	-0.173340	0.733154	-173.930823	-75.124699	-22.621150
