// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
55630		-2.813833	9.381392	0.201661	-0.003047	0.005138	-0.001123	0.207031	-0.109619	-0.055420	89.462245	16.275985	-5.045062
55631		-2.815360	9.404666	0.208972	-0.001383	0.001487	0.000998	0.202637	-0.106201	-0.068115	89.463435	16.275719	-5.044760
55632		-2.821567	9.367393	0.162796	-0.003598	0.004800	0.000936	0.208008	-0.114502	-0.061523	89.461731	16.277512	-5.043191
55633		-2.812117	9.358163	0.194912	-0.002767	0.002974	0.001996	0.202637	-0.114502	-0.058594	89.462379	16.276681	-5.041996
55634		-2.793804	9.402479	0.221241	-0.002270	0.005055	0.000201	0.210693	-0.121094	-0.066162	89.461485	16.278882	-5.040335
55635		-2.798489	9.341935	0.167674	0.000666	0.003402	0.001850	0.204590	-0.109619	-0.065186	89.464170	16.278138	-5.038885
55636		-2.801497	9.388501	0.182027	-0.000776	0.000083	-0.001324	0.206543	-0.108643	-0.065186	89.463290	16.281175	-5.040274
55637		-2.823850	9.351223	0.215122	-0.001439	0.003230	0.001261	0.202881	-0.110107	-0.052002	89.464739	16.280767	-5.038931
55638		-2.822626	9.390804	0.170296	-0.001494	0.004972	0.001524	0.210938	-0.114746	-0.068604	89.464299	16.282188	-5.037224
55639		-2.799877	9.365249	0.175023	-0.002936	0.001653	-0.001649	0.203125	-0.115967	-0.061279	89.464622	16.283439	-5.036837
