// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
29878		-1.866076	-9.436727	1.955354	-0.000175	0.004955	-0.006560	-0.668701	0.782715	-0.122070	-78.044590	10.914052	162.795052
29879		-1.836256	-9.409778	1.983402	-0.000175	0.004956	-0.006560	-0.669922	0.782959	-0.116943	-78.044816	10.913849	162.794935
29880		-1.884504	-9.425452	1.964454	0.002432	0.005399	-0.006644	-0.674072	0.780273	-0.119629	-78.043487	10.913270	162.794200
29881		-1.851349	-9.440250	1.987147	0.001762	0.003664	-0.007287	-0.670898	0.780762	-0.120361	-78.042516	10.912468	162.795329
29882		-1.836215	-9.426790	2.001293	0.001541	0.005926	-0.005107	-0.668945	0.785400	-0.129150	-78.041718	10.912814	162.794479
29883		-1.868361	-9.412181	1.978673	-0.000175	0.004956	-0.006559	-0.669189	0.780518	-0.127930	-78.041878	10.912664	162.793105
29884		-1.869451	-9.429023	1.996335	0.001541	0.005926	-0.005106	-0.661133	0.779053	-0.120605	-78.041081	10.913010	162.792254
29885		-1.882165	-9.425928	1.964414	-0.002111	0.006248	-0.005832	-0.671143	0.782959	-0.116943	-78.042472	10.913452	162.790393
29886		-1.832997	-9.410437	1.983287	0.001918	0.003426	-0.004940	-0.672119	0.779297	-0.119385	-78.041184	10.913595	162.790990
29887		-1.868092	-9.429324	1.996187	0.001093	0.001931	-0.007930	-0.667969	0.781738	-0.123535	-78.040428	10.912212	162.793100
29888		-1.885412	-9.401180	1.987816	0.002808	0.002901	-0.006476	-0.680908	0.787598	-0.122070	-78.038609	10.911431	162.793811
29889		-1.866973	-9.429502	1.996392	0.000494	0.006693	-0.005914	-0.673096	0.781006	-0.113281	-78.038599	10.911770	162.792095
29890		-1.879621	-9.426398	1.964592	0.002054	0.007904	-0.006806	-0.674805	0.781494	-0.120850	-78.037761	10.911398	162.789910
29891		-1.866017	-9.429701	1.996344	-0.000175	0.004958	-0.006558	-0.672607	0.776123	-0.122559	-78.038048	10.911092	162.790729
29892		-1.863907	-9.413092	1.978541	0.000339	0.006935	-0.008259	-0.668457	0.784668	-0.124512	-78.038121	10.909790	162.788922
29893		-1.885863	-9.435206	2.023160	0.003614	0.009116	-0.007697	-0.673584	0.781250	-0.120605	-78.036605	10.909419	162.785220
29894		-1.877375	-9.426819	1.964722	0.003187	0.000401	-0.006309	-0.671387	0.778320	-0.117188	-78.034295	10.908435	162.787378
29895		-1.863761	-9.430085	1.996638	0.001676	0.010408	-0.006970	-0.674316	0.778564	-0.126221	-78.034089	10.908554	162.784440
29896		-1.861717	-9.413444	1.978927	0.001385	0.006171	-0.007448	-0.679688	0.777100	-0.119385	-78.033461	10.907616	162.783167
29897		-1.877257	-9.443851	1.982617	0.002945	0.007382	-0.008340	-0.671387	0.783447	-0.115723	-78.032179	10.906488	162.780255
29898		-1.883023	-9.435653	2.023723	0.002945	0.007383	-0.008339	-0.667725	0.777344	-0.127686	-78.030809	10.905195	162.778182
29899		-1.840472	-9.425205	1.970058	0.001540	0.005931	-0.005102	-0.673096	0.772461	-0.124756	-78.030106	10.905918	162.777330
29900		-1.878965	-9.402328	1.988491	0.002945	0.007384	-0.008339	-0.672852	0.776123	-0.122070	-78.028736	10.904625	162.775257
29901		-1.875077	-9.444187	1.983079	0.003099	0.007143	-0.005993	-0.672607	0.778320	-0.121094	-78.027267	10.904804	162.772496
29902		-1.843857	-9.400402	1.993586	-0.000175	0.004961	-0.006555	-0.668213	0.786621	-0.122803	-78.027382	10.904223	162.772021
29903		-1.859572	-9.430810	1.997118	0.001161	0.008434	-0.005266	-0.671631	0.777344	-0.120605	-78.027171	10.905174	162.769838
29904		-1.857601	-9.414162	1.979379	0.000204	0.002459	-0.006390	-0.677002	0.773193	-0.126465	-78.026795	10.904388	162.770812
29905		-1.857096	-9.414264	1.979368	0.000872	0.004196	-0.005745	-0.679199	0.784180	-0.132324	-78.026282	10.904342	162.769786
29906		-1.859744	-9.447852	2.014673	-0.001066	0.005486	-0.005019	-0.675537	0.779541	-0.123535	-78.026929	10.904684	162.769198
29907		-1.856304	-9.414450	1.979226	0.001918	0.003431	-0.004936	-0.677490	0.775146	-0.119873	-78.025655	10.905082	162.767621
29908		-1.842853	-9.417707	2.010982	-0.001066	0.005487	-0.005019	-0.664795	0.778809	-0.122803	-78.026302	10.905425	162.767032
29909		-1.886258	-9.458527	1.968551	0.000493	0.006699	-0.005909	-0.670410	0.788330	-0.116455	-78.026312	10.905677	162.765626
29910		-1.835765	-9.426200	1.969689	-0.002472	0.004034	-0.001784	-0.675537	0.778809	-0.118652	-78.027533	10.907661	162.766258
29911		-1.910179	-9.422181	2.000679	0.001918	0.003432	-0.004935	-0.666504	0.783936	-0.120117	-78.026422	10.908146	162.768457
29912		-1.854544	-9.414907	1.978703	-0.001221	0.005729	-0.007363	-0.672607	0.775635	-0.120850	-78.027237	10.907203	162.767446
29913		-1.855524	-9.431768	1.996359	0.002431	0.005411	-0.006634	-0.676025	0.781738	-0.120117	-78.026026	10.906982	162.767198
29914		-1.848538	-9.440158	1.955450	0.000205	0.002461	-0.006388	-0.670654	0.783936	-0.116943	-78.025650	10.906197	162.768171
29915		-1.852955	-9.415221	1.978697	0.000872	0.004198	-0.005744	-0.671143	0.781250	-0.126709	-78.025223	10.906297	162.769436
29916		-1.866992	-9.428888	1.964688	0.002143	0.001172	-0.007114	-0.665039	0.783936	-0.116455	-78.023614	10.904953	162.771056
29917		-1.851893	-9.415409	1.978798	-0.001868	-0.000730	-0.003798	-0.665527	0.779541	-0.125732	-78.024119	10.905682	162.774505
29918		-1.864570	-9.412324	1.946972	0.001918	0.003433	-0.004934	-0.674072	0.784424	-0.115723	-78.022833	10.905829	162.775098
29919		-1.867130	-9.445891	1.982463	0.000584	-0.000041	-0.006223	-0.678467	0.785645	-0.124756	-78.022082	10.905222	162.778014
29920		-1.850418	-9.415669	1.978939	0.001764	0.003675	-0.007278	-0.683594	0.781250	-0.115723	-78.020963	10.904084	162.778185
29921		-1.851360	-9.432494	1.996796	0.002810	0.002910	-0.006468	-0.672852	0.782715	-0.117188	-78.019293	10.903458	162.779323
29922		-1.870346	-9.421108	2.006119	0.002431	0.005413	-0.006632	-0.675537	0.778809	-0.115723	-78.017966	10.902888	162.778581
29923		-1.848736	-9.415907	1.979376	0.001764	0.003676	-0.007277	-0.667480	0.774902	-0.118164	-78.017042	10.901989	162.780458
29924		-1.867724	-9.404574	1.988460	-0.001734	0.003752	-0.005662	-0.669434	0.779297	-0.115234	-78.017900	10.901765	162.780782
29925		-1.849284	-9.432863	1.996976	0.003097	0.007151	-0.005987	-0.669678	0.779053	-0.123047	-78.016538	10.902060	162.780532
29926		-1.847229	-9.416218	1.979304	0.000337	0.006945	-0.008250	-0.675537	0.781006	-0.116211	-78.016613	10.900765	162.778720
29927		-1.846711	-9.416343	1.979196	-0.000688	0.002987	-0.004852	-0.675049	0.771729	-0.119385	-78.016905	10.901175	162.780157
29928		-1.860813	-9.430045	1.964997	0.001004	0.008684	-0.007605	-0.670410	0.778320	-0.127197	-78.016771	10.900449	162.777431
29929		-1.879810	-9.418697	1.974172	0.002430	0.005416	-0.006630	-0.665527	0.780518	-0.115967	-78.015512	10.900058	162.775588
29930		-1.841615	-9.458447	1.973651	0.001230	0.006424	-0.009783	-0.676025	0.782471	-0.123047	-78.015054	10.897841	162.773887
29931		-1.844523	-9.416765	1.979229	0.002203	0.007677	-0.004451	-0.678467	0.786133	-0.114990	-78.014190	10.899109	162.772919
29932		-1.863556	-9.405426	1.988338	-0.000329	0.005210	-0.008893	-0.668457	0.776367	-0.123535	-78.014474	10.897247	162.772019
29933		-1.857947	-9.430586	1.965111	0.003609	0.009135	-0.007682	-0.674561	0.780029	-0.124756	-78.013046	10.896804	162.769871
29934		-1.847828	-9.392074	2.002382	-0.002781	0.004519	-0.006470	-0.665527	0.776611	-0.125977	-78.014604	10.896219	162.769660
29935		-1.861811	-9.405833	1.988049	0.000337	0.006949	-0.008247	-0.676758	0.774902	-0.121582	-78.014713	10.895243	162.766364
29936		-1.856270	-9.430986	1.964776	0.002049	0.007922	-0.006792	-0.674072	0.781006	-0.117920	-78.013879	10.894881	162.764171
