// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
39378		9.480506	-0.416777	2.293358	-0.000689	0.000640	0.006369	-1.272461	0.299805	0.633057	-10.222294	-76.372370	93.672540
39379		9.471920	-0.403807	2.274813	-0.001234	0.001697	-0.001298	-1.268066	0.304932	0.621826	-10.216130	-76.371831	93.665679
39380		9.463045	-0.424134	2.264665	-0.004019	0.002595	0.001054	-1.272705	0.305664	0.628418	-10.215324	-76.370792	93.664453
39381		9.454448	-0.411058	2.246190	-0.003141	0.001449	0.000559	-1.273438	0.298096	0.627686	-10.215419	-76.370024	93.667387
39382		9.463232	-0.390990	2.256673	-0.001401	0.001742	0.002783	-1.277344	0.297852	0.628418	-10.217491	-76.369290	93.670666
39383		9.492855	-0.407437	2.263513	-0.004002	0.000009	-0.002159	-1.276123	0.295166	0.626709	-10.211264	-76.369694	93.662469
39384		9.458050	-0.421764	2.205719	-0.001418	0.004328	0.005996	-1.271973	0.304443	0.628418	-10.219733	-76.367176	93.672320
39385		9.463083	-0.391708	2.257172	-0.006787	0.000907	0.000192	-1.271240	0.302002	0.631348	-10.220481	-76.366832	93.670576
39386		9.471593	-0.405178	2.275931	-0.001401	0.001742	0.002782	-1.265381	0.298096	0.623291	-10.222552	-76.366098	93.673854
39387		9.462710	-0.425777	2.265754	-0.003663	0.002044	0.002846	-1.269043	0.303223	0.626709	-10.227513	-76.364939	93.678091
39388		9.462937	-0.392508	2.257645	-0.001757	0.002293	0.000989	-1.274658	0.307861	0.625244	-10.225388	-76.364077	93.676842
39389		9.471411	-0.405913	2.276557	-0.002635	0.003440	0.001484	-1.275879	0.299316	0.620117	-10.226426	-76.362114	93.680787
39390		9.475081	-0.416314	2.235873	-0.002785	0.000898	0.002351	-1.288086	0.288818	0.632080	-10.228642	-76.361900	93.683398
39391		9.450174	-0.403314	2.288922	-0.002130	0.005430	0.002409	-1.277100	0.302490	0.625488	-10.228744	-76.358638	93.682037
39392		9.453873	-0.413647	2.248132	-0.001534	-0.003386	0.000436	-1.271973	0.299316	0.625488	-10.227587	-76.361034	93.681916
39393		9.453900	-0.413770	2.247997	-0.006788	0.000907	0.000191	-1.269287	0.296143	0.618896	-10.228330	-76.360616	93.681257
39394		9.483792	-0.396744	2.246592	0.000506	0.001991	0.000926	-1.271484	0.308350	0.629150	-10.224887	-76.359931	93.679986
39395		9.450069	-0.403878	2.289253	-0.002635	0.003440	0.001484	-1.266357	0.303955	0.622070	-10.225502	-76.357968	93.682348
39396		9.444886	-0.434502	2.238336	-0.002635	0.003440	0.001484	-1.276123	0.298096	0.624023	-10.224549	-76.356408	93.681788
39397		9.462488	-0.394202	2.259235	-0.002786	0.000898	0.002351	-1.273438	0.302490	0.626709	-10.228083	-76.355757	93.686655
39398		9.432519	-0.411639	2.260877	-0.001401	0.001742	0.002782	-1.279053	0.301270	0.623291	-10.230151	-76.355023	93.689930
39399		9.479448	-0.421314	2.296902	-0.000896	0.003732	0.003708	-1.264160	0.300537	0.618896	-10.234479	-76.352620	93.696949
39400		9.474572	-0.418195	2.237677	-0.001945	0.002801	-0.004884	-1.272949	0.295898	0.621582	-10.218610	-76.352069	93.681446
39401		9.462254	-0.394740	2.260118	-0.001402	0.001742	0.002782	-1.280029	0.301025	0.631836	-10.221671	-76.350883	93.685370
39402		9.470711	-0.408456	2.279014	-0.005066	0.003786	0.005627	-1.270020	0.298828	0.629395	-10.231585	-76.348706	93.694560
39403		9.482911	-0.432125	2.257028	-0.001234	0.001698	-0.001298	-1.268311	0.301758	0.630127	-10.225379	-76.348219	93.688345
39404		9.474328	-0.418926	2.238572	-0.004020	0.002596	0.001052	-1.269531	0.301758	0.623535	-10.224571	-76.347180	93.687117
39405		9.461983	-0.395730	2.261078	-0.002636	0.003440	0.001483	-1.277588	0.298096	0.626465	-10.225264	-76.345383	93.688281
