// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
64754		9.174144	-0.105982	-2.492728	0.079763	-0.004636	0.015958	-0.267822	-0.139648	0.732422	-178.588248	-74.684822	-32.413413
64755		9.099657	-0.148962	-2.468008	0.079887	-0.008795	0.008445	-0.262451	-0.143066	0.738770	-178.521753	-74.677439	-32.428993
64756		9.130290	-0.114061	-2.461055	0.075769	-0.009028	-0.003171	-0.261963	-0.148682	0.732910	-178.481434	-74.674430	-32.418884
64757		9.138199	-0.018232	-2.497223	0.068670	-0.009081	-0.010253	-0.261475	-0.136719	0.739990	-178.460501	-74.667162	-32.393886
64758		9.097449	0.051939	-2.364792	0.057124	-0.013370	-0.013495	-0.266602	-0.151367	0.741943	-178.452786	-74.661623	-32.362042
64759		9.057601	0.087640	-2.379163	0.044635	-0.018624	-0.018426	-0.265137	-0.143555	0.738037	-178.463199	-74.649018	-32.318817
64760		9.072516	0.107607	-2.377255	0.031854	-0.021825	-0.032985	-0.264893	-0.139404	0.734863	-178.511155	-74.639214	-32.246864
64761		9.118168	0.165715	-2.368102	0.017371	-0.024833	-0.033805	-0.260986	-0.141846	0.744629	-178.569433	-74.623260	-32.170194
64762		9.155618	0.106517	-2.379636	0.017374	-0.024831	-0.033810	-0.262695	-0.147461	0.739746	-178.627326	-74.611509	-32.093750
64763		9.239456	0.123812	-2.323868	0.009664	-0.026818	-0.035067	-0.264893	-0.143799	0.735840	-178.692477	-74.594393	-32.014522
64764		9.349902	0.098618	-2.327052	0.004649	-0.025479	-0.024300	-0.260986	-0.140869	0.739258	-178.737928	-74.582139	-31.960625
64765		9.376187	0.099416	-2.276284	-0.000850	-0.030236	-0.015214	-0.259277	-0.145264	0.737793	-178.767789	-74.562783	-31.924244
64766		9.417603	0.097377	-2.278354	-0.006858	-0.034707	-0.004568	-0.264404	-0.138184	0.734375	-178.779190	-74.544794	-31.911367
64767		9.415380	0.071173	-2.303802	-0.011835	-0.036010	0.003518	-0.267578	-0.143311	0.740479	-178.776697	-74.521898	-31.915078
64768		9.396546	0.019958	-2.299045	-0.007571	-0.036183	0.008177	-0.263184	-0.145508	0.737549	-178.762133	-74.503238	-31.928740
64769		9.379185	-0.005087	-2.271987	-0.007559	-0.032440	0.008732	-0.258057	-0.139404	0.741455	-178.746310	-74.482322	-31.943744
64770		9.359077	-0.083289	-2.288660	-0.000809	-0.025030	0.011525	-0.252197	-0.143311	0.744629	-178.720637	-74.469751	-31.965587
64771		9.302439	-0.073405	-2.273223	0.000185	-0.019223	0.011650	-0.261719	-0.135254	0.736084	-178.693840	-74.456365	-31.987378
64772		9.260796	-0.086186	-2.365545	0.000722	-0.008286	0.011767	-0.270508	-0.140625	0.743896	-178.665993	-74.453181	-32.009245
64773		9.205392	-0.091101	-2.438624	-0.000707	-0.001480	0.012750	-0.265137	-0.145752	0.740479	-178.636648	-74.449938	-32.034213
64774		9.204248	-0.097908	-2.404557	0.000361	0.002788	0.008064	-0.253662	-0.139648	0.739746	-178.616076	-74.453789	-32.050873
64775		9.204676	-0.078087	-2.347944	-0.002052	0.007531	0.009479	-0.258545	-0.140869	0.737305	-178.593788	-74.455747	-32.069315
64776		9.249115	-0.090884	-2.470113	-0.007819	0.016052	0.010614	-0.264648	-0.141602	0.737793	-178.572030	-74.466394	-32.090404
64777		9.306841	-0.096846	-2.519924	-0.010230	0.020795	0.012027	-0.255859	-0.141602	0.731445	-178.548463	-74.475909	-32.115035
64778		9.319016	-0.117473	-2.468201	-0.001531	0.024849	0.012839	-0.254395	-0.147705	0.731445	-178.518013	-74.491711	-32.141975
64779		9.322208	-0.086399	-2.477935	-0.004007	0.021008	0.015260	-0.258789	-0.141357	0.732422	-178.484117	-74.501292	-32.173622
64780		9.266540	-0.076721	-2.458709	-0.005975	0.016879	0.016122	-0.268311	-0.146484	0.735107	-178.449932	-74.512192	-32.208134
64781		9.269634	-0.045582	-2.468889	-0.025294	0.019617	0.017585	-0.263672	-0.143311	0.730713	-178.423424	-74.520931	-32.244769
64782		9.244642	-0.018766	-2.498075	-0.037286	0.024195	0.014915	-0.259277	-0.140381	0.742432	-178.409065	-74.536554	-32.277805
64783		9.292481	0.001195	-2.630087	-0.039608	0.041269	0.015874	-0.262451	-0.135742	0.737549	-178.392959	-74.557716	-32.312151
64784		9.277084	-0.023752	-2.595381	-0.031295	0.055298	0.015115	-0.260986	-0.145264	0.735352	-178.372553	-74.590852	-32.345045
64785		9.262018	-0.028363	-2.503883	-0.027925	0.055262	0.015949	-0.263184	-0.142090	0.740234	-178.348576	-74.620020	-32.380601
64786		9.221312	-0.025948	-2.499535	-0.036111	0.061058	0.017357	-0.261230	-0.141846	0.731689	-178.325892	-74.656393	-32.420898
64787		9.235687	-0.019972	-2.422065	-0.032693	0.062126	0.016066	-0.266113	-0.144531	0.737061	-178.303737	-74.689483	-32.457386
64788		9.224495	-0.006737	-2.431914	-0.043789	0.062835	0.016627	-0.268311	-0.151855	0.742188	-178.286602	-74.726853	-32.496061
64789		9.223275	-0.039646	-2.414354	-0.050121	0.063072	0.020295	-0.270996	-0.142822	0.735840	-178.265241	-74.760405	-32.542064
64790		9.240245	-0.021831	-2.404601	-0.051081	0.064758	0.021268	-0.261963	-0.144775	0.739502	-178.242135	-74.799123	-32.593153
64791		9.281184	-0.037916	-2.329466	-0.050641	0.066013	0.024505	-0.261475	-0.139648	0.735352	-178.211665	-74.834274	-32.648888
64792		9.295304	-0.073066	-2.364311	-0.057896	0.058913	0.023217	-0.262939	-0.138672	0.735596	-178.188292	-74.869026	-32.701621
64793		9.267114	-0.084569	-2.344675	-0.061825	0.054404	0.025464	-0.265381	-0.146484	0.733154	-178.162616	-74.897499	-32.759010
64794		9.266809	-0.091557	-2.306154	-0.063354	0.045146	0.026303	-0.261475	-0.149170	0.729980	-178.136420	-74.924341	-32.817757
64795		9.267653	-0.072373	-2.246059	-0.068277	0.038570	0.028970	-0.274658	-0.143066	0.723145	-178.107794	-74.943667	-32.882016
64796		9.241801	-0.071771	-2.296568	-0.073593	0.028120	0.025691	-0.269775	-0.144287	0.732666	-178.089853	-74.960866	-32.939297
