// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
46854		9.416985	-0.752119	2.351399	-0.002288	0.000126	0.002986	-1.006836	0.522461	-0.605469	-16.674597	-76.281883	-64.311812
46855		9.464623	-0.772409	2.321171	-0.004100	-0.001955	0.001426	-0.998779	0.521973	-0.599609	-16.679387	-76.281547	-64.307970
46856		9.428787	-0.735428	2.338626	-0.004705	0.001164	0.002609	-1.010254	0.520508	-0.602539	-16.681593	-76.281087	-64.306729
46857		9.456611	-0.752364	2.294518	-0.002303	-0.003775	0.003721	-1.012939	0.524414	-0.603516	-16.691707	-76.281416	-64.296383
46858		9.425007	-0.766449	2.293121	-0.001669	0.000908	0.001067	-1.002197	0.523926	-0.602295	-16.688878	-76.281351	-64.298533
46859		9.425002	-0.766752	2.293043	-0.002605	-0.002216	0.004313	-1.005615	0.521729	-0.607178	-16.699519	-76.280710	-64.287697
46860		9.417041	-0.750060	2.308473	-0.003179	-0.002732	-0.001085	-1.008301	0.520020	-0.604248	-16.695172	-76.282997	-64.292301
46861		9.492526	-0.790517	2.276320	-0.000619	-0.000782	0.001919	-1.018555	0.512939	-0.604736	-16.698229	-76.281957	-64.288285
46862		9.417074	-0.750445	2.308216	-0.003655	-0.000526	0.003461	-1.010986	0.529541	-0.604004	-16.702887	-76.282284	-64.283900
46863		9.436864	-0.754236	2.322047	-0.000921	0.000777	0.002511	-1.007568	0.516113	-0.605225	-16.706447	-76.280301	-64.279344
46864		9.452834	-0.788412	2.290702	-0.001540	-0.000005	0.004429	-1.012207	0.524902	-0.608154	-16.711718	-76.280183	-64.273081
46865		9.436773	-0.751202	2.280024	-0.002590	0.001685	0.003578	-1.013428	0.518555	-0.603271	-16.717977	-76.277519	-64.266899
46866		9.436753	-0.755353	2.322132	-0.001986	-0.001434	0.002394	-1.009277	0.517090	-0.609131	-16.719892	-76.278520	-64.264353
46867		9.432925	-0.786025	2.276883	-0.004705	0.001164	0.002609	-1.012939	0.520508	-0.607178	-16.725477	-76.276316	-64.260148
46868		9.416857	-0.752603	2.308397	-0.000475	0.002206	0.004546	-1.002686	0.524170	-0.613281	-16.728905	-76.274965	-64.255154
46869		9.436645	-0.752520	2.280118	-0.004848	-0.001824	-0.000018	-1.009521	0.526123	-0.600586	-16.730776	-76.274804	-64.254857
46870		9.448466	-0.743079	2.351686	-0.000921	0.000777	0.002511	-1.009033	0.516602	-0.606934	-16.730850	-76.274573	-64.253577
46871		9.412977	-0.783682	2.263215	-0.003338	0.001816	0.002134	-1.014893	0.524658	-0.606934	-16.734238	-76.272108	-64.250664
46872		9.456374	-0.756839	2.294022	-0.002907	-0.000657	0.004904	-1.013428	0.525879	-0.591309	-16.741795	-76.272268	-64.242854
46873		9.444525	-0.774608	2.306600	-0.003957	0.001033	0.004052	-1.009277	0.522217	-0.610107	-16.750514	-76.269940	-64.234486
46874		9.428453	-0.737325	2.296042	0.000144	0.002988	0.002628	-1.003174	0.517334	-0.602539	-16.748746	-76.268476	-64.234475
46875		9.444393	-0.771431	2.264800	-0.002288	0.000125	0.002985	-1.008301	0.515381	-0.600342	-16.754511	-76.266796	-64.228689
46876		9.444399	-0.775539	2.306802	-0.004101	-0.001955	0.001425	-1.012939	0.521973	-0.602539	-16.755815	-76.268243	-64.228019
46877		9.416565	-0.755594	2.308611	-0.001095	0.001423	0.006464	-0.999268	0.517822	-0.600098	-16.767853	-76.265313	-64.214891
46878		9.456140	-0.762961	2.336349	-0.003036	0.000256	0.001542	-1.015869	0.524658	-0.595947	-16.767316	-76.265528	-64.215488
46879		9.396682	-0.752821	2.294835	-0.002288	0.000125	0.002985	-1.006836	0.525879	-0.604492	-16.773173	-76.263901	-64.209320
46880		9.448125	-0.742781	2.309816	-0.004101	-0.001955	0.001424	-1.005859	0.526123	-0.602539	-16.774478	-76.265348	-64.208649
46881		9.444303	-0.777101	2.306671	-0.000302	0.001559	0.000592	-1.005371	0.526611	-0.607422	-16.772929	-76.263285	-64.208938
46882		9.424467	-0.773804	2.292871	-0.004403	-0.000395	0.002017	-1.010254	0.524414	-0.600586	-16.774681	-76.263779	-64.207984
46883		9.436285	-0.756721	2.280217	-0.001367	-0.000652	0.000475	-1.008057	0.521729	-0.600342	-16.774962	-76.262951	-64.207021
46884		9.436310	-0.760709	2.322185	-0.004101	-0.001955	0.001424	-1.005615	0.529541	-0.602051	-16.776267	-76.264397	-64.206349
46885		9.464097	-0.777469	2.278216	-0.001971	0.002467	0.001659	-1.010742	0.520508	-0.605957	-16.777448	-76.261685	-64.204770
46886		9.436248	-0.761134	2.322296	-0.003036	0.000256	0.001542	-1.007568	0.524170	-0.600098	-16.776911	-76.261900	-64.205367
46887		9.408423	-0.737127	2.282045	-0.003036	0.000256	0.001542	-1.012207	0.529541	-0.598145	-16.779843	-76.260420	-64.202726
46888		9.444188	-0.778600	2.306635	-0.003957	0.001032	0.004052	-1.008789	0.521729	-0.601563	-16.784941	-76.259793	-64.198066
46889		9.444172	-0.778913	2.306596	-0.002734	-0.001303	0.000949	-1.002441	0.525879	-0.603027	-16.787528	-76.259283	-64.195396
46890		9.463969	-0.782463	2.320469	0.001066	0.002211	0.000118	-1.004395	0.520020	-0.605225	-16.780125	-76.258661	-64.200643
46891		9.388502	-0.738579	2.310421	-0.005944	-0.000402	0.006445	-1.005127	0.518555	-0.606689	-16.796150	-76.256730	-64.186361
46892		9.432296	-0.796899	2.319165	-0.000446	-0.001428	-0.002036	-1.006836	0.522705	-0.603027	-16.787245	-76.258460	-64.194044
46893		9.444080	-0.779732	2.306696	-0.001524	0.003894	0.003695	-1.006104	0.531738	-0.611572	-16.791603	-76.254630	-64.189212
46894		9.483609	-0.787089	2.334617	-0.002590	0.001684	0.003577	-1.010254	0.525879	-0.607422	-16.794410	-76.253724	-64.186104
46895		9.416112	-0.760095	2.308980	-0.001223	0.002335	0.003103	-1.007080	0.529297	-0.610840	-16.798524	-76.250796	-64.181119
46896		9.408072	-0.739670	2.282670	-0.002289	0.000124	0.002985	-0.997559	0.521973	-0.604736	-16.800884	-76.250844	-64.178292
46897		9.463659	-0.780760	2.278908	-0.004404	-0.000396	0.002016	-1.014893	0.524170	-0.609131	-16.806122	-76.249622	-64.174212
46898		9.455659	-0.768000	2.336647	-0.004404	-0.000396	0.002016	-1.009521	0.518066	-0.607910	-16.807874	-76.250116	-64.173260
46899		9.416044	-0.757357	2.266792	-0.001367	-0.000652	0.000474	-1.006348	0.514160	-0.604248	-16.807992	-76.249300	-64.172637
46900		9.435834	-0.764913	2.322739	-0.004705	0.001163	0.002608	-1.014648	0.530518	-0.608154	-16.810189	-76.248840	-64.171404
46901		9.443775	-0.781986	2.307184	0.001066	0.002211	0.000118	-1.009521	0.522705	-0.608643	-16.806219	-76.246534	-64.173481
46902		9.435745	-0.765245	2.322990	-0.002289	0.000124	0.002985	-1.004395	0.521973	-0.596191	-16.808578	-76.246581	-64.170656
46903		9.435722	-0.761626	2.280914	-0.001669	0.000907	0.001067	-1.009521	0.512939	-0.607178	-16.809198	-76.244864	-64.169593
46904		9.435699	-0.761803	2.280950	-0.003036	0.000256	0.001541	-1.004395	0.521240	-0.608154	-16.808662	-76.245078	-64.170189
46905		9.443668	-0.782875	2.307320	-0.003656	-0.000528	0.003459	-1.003662	0.533203	-0.599854	-16.816567	-76.243734	-64.163115
46906		9.459358	-0.731725	2.297662	-0.003801	-0.003514	0.000830	-1.013916	0.519531	-0.600342	-16.817429	-76.246133	-64.162723
46907		9.443681	-0.783476	2.307061	-0.002892	0.003242	0.004170	-1.003174	0.518555	-0.606689	-16.824260	-76.242637	-64.155728
