// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
42066		9.418583	-0.752378	2.292077	-0.001804	0.002010	0.002143	-1.971436	0.156738	0.630127	-17.205005	-75.744749	101.980222
42067		9.439995	-0.748894	2.303271	-0.001356	0.000928	0.000321	-1.973145	0.167969	0.632568	-17.200316	-75.744818	101.976059
42068		9.470213	-0.735269	2.294095	-0.004069	0.002784	0.000962	-1.972900	0.165527	0.628662	-17.199584	-75.743005	101.974793
42069		9.423433	-0.737378	2.331675	-0.001431	0.003471	0.001280	-1.970703	0.165283	0.633057	-17.195310	-75.741519	101.971012
42070		9.409538	-0.763178	2.313206	-0.002177	0.000548	0.003007	-1.969727	0.161865	0.634521	-17.199665	-75.740563	101.977522
42071		9.448545	-0.739667	2.283662	-0.004516	0.003866	0.002785	-1.971436	0.163330	0.624512	-17.200137	-75.738606	101.976816
42072		9.425848	-0.775670	2.285515	-0.003458	-0.001067	0.002368	-1.970703	0.158691	0.627930	-17.204643	-75.738650	101.981045
42073		9.461142	-0.746788	2.315107	-0.003458	-0.001067	0.002368	-1.969727	0.156494	0.630127	-17.206901	-75.739463	101.982807
42074		9.453497	-0.725293	2.322647	-0.005262	0.000942	0.004512	-1.972656	0.157471	0.632080	-17.215236	-75.738076	101.987365
42075		9.430776	-0.761310	2.324577	-0.001431	0.003471	0.001280	-1.965088	0.160889	0.635986	-17.210962	-75.736590	101.983585
42076		9.447189	-0.773329	2.296615	-0.004740	-0.002683	0.001730	-1.977295	0.161377	0.633301	-17.215724	-75.737797	101.985210
42077		9.418113	-0.755324	2.293038	0.000460	0.001235	0.003325	-1.969482	0.158203	0.629639	-17.216261	-75.737188	101.987512
42078		9.477440	-0.760116	2.287192	-0.004366	-0.001221	0.000866	-1.976074	0.160156	0.626709	-17.217872	-75.737615	101.987461
42079		9.431921	-0.730170	2.311681	-0.002712	0.001856	0.000642	-1.968262	0.165527	0.636963	-17.214034	-75.737122	101.983375
42080		9.455938	-0.764063	2.276207	-0.003085	0.000394	0.001505	-1.966797	0.156250	0.638672	-17.215532	-75.736565	101.985195
42081		9.453309	-0.726957	2.322892	-0.004441	0.001322	0.001826	-1.972168	0.165283	0.629883	-17.215592	-75.736162	101.984107
42082		9.434454	-0.768083	2.265123	0.000983	-0.002390	0.000542	-1.971436	0.159424	0.624512	-17.214458	-75.737411	101.983982
42083		9.439511	-0.752927	2.303941	-0.002923	-0.002376	0.004734	-1.975342	0.169678	0.634766	-17.222376	-75.738540	101.991900
42084		9.460931	-0.749637	2.315049	-0.001430	0.003471	0.001281	-1.969482	0.163818	0.633301	-17.220457	-75.736257	101.992356
42085		9.440631	-0.721420	2.291290	-0.005722	-0.000293	0.001188	-1.972900	0.166748	0.636719	-17.220954	-75.736847	101.990962
42086		9.452056	-0.760186	2.335537	-0.003085	0.000394	0.001505	-1.976074	0.161133	0.635010	-17.222770	-75.736381	101.994136
42087		9.439398	-0.753901	2.304085	-0.003085	0.000394	0.001505	-1.963135	0.155273	0.625732	-17.221982	-75.736541	101.992976
42088		9.439384	-0.754220	2.304039	-0.002550	-0.000915	0.003871	-1.971191	0.163086	0.629150	-17.228660	-75.736343	101.997561
42089		9.431783	-0.732708	2.311440	-0.003831	-0.002530	0.003232	-1.972412	0.162354	0.623535	-17.233969	-75.737810	102.002250
42090		9.482360	-0.747618	2.325712	-0.001655	-0.003077	0.000224	-1.966553	0.158203	0.635254	-17.234006	-75.739244	102.003207
42091		9.426858	-0.748502	2.271848	-0.002102	-0.001996	0.002048	-1.969971	0.162598	0.637207	-17.235418	-75.740620	102.004898
42092		9.453340	-0.729756	2.321890	-0.002176	0.000547	0.003008	-1.967529	0.158936	0.627686	-17.239433	-75.739931	102.007935
42093		9.439510	-0.755536	2.303091	-0.005648	-0.002836	0.000228	-1.967529	0.159424	0.635742	-17.239521	-75.742076	102.006163
42094		9.455972	-0.767560	2.274889	-0.003458	-0.001068	0.002369	-1.972168	0.157715	0.636475	-17.243730	-75.742276	102.007760
42095		9.448372	-0.745973	2.282326	-0.001194	-0.001843	0.003550	-1.971680	0.158691	0.629150	-17.247757	-75.743313	102.012685
42096		9.439553	-0.756385	2.302633	-0.003084	0.000394	0.001506	-1.972656	0.163086	0.630615	-17.248753	-75.742841	102.011751
42097		9.440766	-0.724568	2.289739	-0.002102	-0.001996	0.002048	-1.963867	0.170166	0.628418	-17.250167	-75.744217	102.013444
42098		9.431943	-0.734950	2.310075	-0.004440	0.001322	0.001828	-1.970703	0.157715	0.636475	-17.252840	-75.743078	102.016801
42099		9.448329	-0.747049	2.282153	-0.002176	0.000547	0.003008	-1.971680	0.161377	0.632813	-17.254666	-75.742899	102.018874
42100		9.468559	-0.775893	2.305957	-0.000285	-0.001691	0.005052	-1.965332	0.165771	0.635010	-17.263264	-75.743023	102.027979
42101		9.440716	-0.725871	2.289531	-0.004366	-0.001221	0.000867	-1.969727	0.164063	0.631348	-17.262917	-75.744175	102.026516
42102		9.431904	-0.736224	2.309827	-0.000820	-0.000381	0.002687	-1.968262	0.158691	0.636475	-17.266426	-75.743951	102.031795
42103		9.447081	-0.780398	2.294669	-0.003531	0.001474	0.003330	-1.961182	0.173828	0.628418	-17.269100	-75.743210	102.033943
42104		9.431842	-0.736831	2.309887	-0.001729	-0.000534	0.001185	-1.972412	0.158203	0.633545	-17.270160	-75.743332	102.036129
42105		9.448245	-0.748838	2.281914	-0.004440	0.001322	0.001828	-1.966064	0.159424	0.635010	-17.270223	-75.742930	102.035046
42106		9.439373	-0.759224	2.302437	-0.001802	0.002008	0.002146	-1.968994	0.158936	0.634521	-17.270860	-75.741554	102.034235
42107		9.461979	-0.723785	2.300924	-0.004066	0.002784	0.000965	-1.968018	0.155273	0.630371	-17.267873	-75.740498	102.030225
42108		9.460729	-0.756124	2.313763	-0.007450	-0.000828	0.002374	-1.976318	0.161621	0.630859	-17.273915	-75.740612	102.030586
42109		9.448051	-0.749904	2.282365	0.000835	0.002695	0.002463	-1.968506	0.156006	0.627197	-17.271404	-75.739350	102.029964
42110		9.469434	-0.746500	2.293686	-0.004066	0.002784	0.000965	-1.972168	0.159912	0.634033	-17.270052	-75.737568	102.026479
42111		9.439102	-0.760492	2.303132	-0.002176	0.000546	0.003009	-1.965576	0.158691	0.634277	-17.271878	-75.737389	102.028553
42112		9.461716	-0.725085	2.301599	-0.001429	0.003470	0.001283	-1.974365	0.162842	0.626221	-17.269526	-75.735373	102.025001
42113		9.440202	-0.728794	2.290721	-0.001355	0.000928	0.000322	-1.969482	0.169678	0.631348	-17.264844	-75.735443	102.020844
42114		9.438942	-0.761148	2.303568	-0.005260	0.000939	0.004515	-1.969971	0.169189	0.630371	-17.273839	-75.734015	102.030952
42115		9.436336	-0.724298	2.350236	-0.004813	-0.000141	0.002691	-1.967529	0.160156	0.636719	-17.276953	-75.734267	102.032795
42116		9.430046	-0.772070	2.323987	0.000461	0.001232	0.003327	-1.969971	0.165771	0.625244	-17.279943	-75.733077	102.038500
42117		9.438821	-0.762227	2.303708	-0.004439	0.001321	0.001829	-1.976318	0.159668	0.631104	-17.280008	-75.732675	102.037419
42118		9.431142	-0.740553	2.311555	-0.002784	0.004398	0.001605	-1.971680	0.153564	0.624756	-17.278552	-75.729852	102.036497
42119		9.447508	-0.752494	2.283760	-0.003992	0.000241	0.000004	-1.959229	0.162354	0.633789	-17.275160	-75.730351	102.032112
42120		9.468912	-0.749157	2.294973	-0.002249	0.003088	0.003971	-1.969727	0.152832	0.629883	-17.279051	-75.728027	102.032834
42121		9.438516	-0.763343	2.304589	-0.003604	0.004015	0.004293	-1.973877	0.161621	0.633545	-17.282134	-75.725732	102.035361
42122		9.452279	-0.738197	2.323540	-0.001802	0.002008	0.002146	-1.965576	0.160645	0.631104	-17.282420	-75.724307	102.033932
42123		9.452239	-0.738503	2.323604	-0.004813	-0.000141	0.002691	-1.961670	0.167236	0.634277	-17.285532	-75.724559	102.035774
42124		9.430757	-0.742445	2.312516	-0.002176	0.000545	0.003009	-1.964355	0.155518	0.631592	-17.289812	-75.723872	102.039710
42125		9.452172	-0.739083	2.323693	-0.002710	0.001856	0.000644	-1.976807	0.159668	0.635010	-17.285982	-75.723379	102.035632
42126		9.477395	-0.740899	2.275408	-0.003084	0.000393	0.001507	-1.970947	0.163086	0.631104	-17.286797	-75.723013	102.033893
42127		9.414199	-0.731243	2.340851	-0.001428	0.003470	0.001284	-1.970215	0.158936	0.631836	-17.282529	-75.721528	102.030120
42128		9.438162	-0.765189	2.305428	-0.002176	0.000545	0.003009	-1.980469	0.158691	0.628418	-17.286270	-75.720742	102.033674
42129		9.460790	-0.729790	2.303917	-0.001428	0.003470	0.001284	-1.966553	0.163818	0.632813	-17.282003	-75.719258	102.029902
42130		9.439295	-0.733682	2.292898	-0.005186	-0.001604	0.003554	-1.975098	0.161621	0.631348	-17.290003	-75.719494	102.036846
42131		9.430456	-0.744077	2.313220	-0.001355	0.000928	0.000322	-1.968750	0.163086	0.635742	-17.285326	-75.719564	102.032696
42132		9.446864	-0.756071	2.285245	-0.004812	-0.000142	0.002692	-1.967773	0.165527	0.628418	-17.290528	-75.719250	102.037091
42133		9.434197	-0.749792	2.253874	-0.004065	0.002783	0.000967	-1.964355	0.163086	0.633057	-17.287548	-75.718195	102.033089
42134		9.451808	-0.741286	2.324474	-0.002549	-0.000918	0.003872	-1.961670	0.159912	0.621582	-17.294770	-75.718087	102.040602
42135		9.446745	-0.756983	2.285434	-0.001801	0.002007	0.002147	-1.970703	0.159180	0.626221	-17.293550	-75.717256	102.039755
42136		9.468159	-0.753629	2.296614	-0.003083	0.000393	0.001507	-1.969727	0.153809	0.629639	-17.294340	-75.716672	102.037953
42137		9.434028	-0.762300	2.365441	-0.002710	0.001855	0.000645	-1.972412	0.160156	0.633301	-17.290513	-75.716179	102.033879
42138		9.442807	-0.752345	2.345230	-0.001801	0.002007	0.002147	-1.971924	0.159668	0.634033	-17.290712	-75.714795	102.032136
42139		9.446566	-0.757852	2.285884	-0.002175	0.000544	0.003010	-1.969482	0.165527	0.631104	-17.292537	-75.714617	102.034210
42140		9.430112	-0.746424	2.313868	-0.004812	-0.000142	0.002692	-1.972168	0.166748	0.632568	-17.297754	-75.714306	102.038496
42141		9.455312	-0.748350	2.265674	-0.002782	0.004397	0.001607	-1.965332	0.162598	0.634766	-17.294337	-75.712259	102.034801
42142		9.447633	-0.726661	2.273577	-0.001801	0.002007	0.002147	-1.965576	0.158447	0.631348	-17.295533	-75.710912	102.037275
42143		9.417279	-0.740625	2.283039	-0.001801	0.002007	0.002147	-1.964600	0.167725	0.633789	-17.294315	-75.710081	102.036429
42144		9.421030	-0.757605	2.334898	-0.003457	-0.001070	0.002369	-1.972412	0.157959	0.629883	-17.298848	-75.710416	102.039810
42145		9.467692	-0.755982	2.297767	-0.001874	0.004548	0.003110	-1.970703	0.162109	0.633789	-17.298039	-75.708030	102.039343
42146		9.446193	-0.759877	2.286755	0.000160	-0.002774	0.003227	-1.973877	0.156494	0.637207	-17.302940	-75.709072	102.045195
42147		9.467622	-0.756530	2.297872	-0.001427	0.003469	0.001285	-1.967529	0.158203	0.632324	-17.298677	-75.707587	102.041429
42148		9.429694	-0.748648	2.314852	-0.000287	-0.001695	0.005052	-1.972412	0.160889	0.630859	-17.306832	-75.707859	102.048816
42149		9.420818	-0.759125	2.335258	-0.004064	0.002783	0.000967	-1.968750	0.167236	0.634033	-17.303856	-75.706805	102.044818
42150		9.438447	-0.739099	2.294649	-0.002175	0.000544	0.003010	-1.967529	0.161133	0.624268	-17.307908	-75.706068	102.050086
42151		9.445982	-0.761276	2.287162	-0.004063	0.002783	0.000968	-1.963379	0.156006	0.628418	-17.304933	-75.705013	102.046089
42152		9.409288	-0.721301	2.291485	-0.003530	0.001471	0.003333	-1.970459	0.159180	0.632324	-17.309094	-75.703649	102.047025
42153		9.459735	-0.736368	2.306152	-0.000446	0.001079	0.001825	-1.971924	0.158447	0.632324	-17.307027	-75.703381	102.046105
42154		9.444573	-0.794298	2.300218	-0.007895	0.000250	0.004199	-1.968750	0.166260	0.631836	-17.316458	-75.702651	102.051133
42155		9.438237	-0.740575	2.295037	0.001354	-0.000928	-0.000323	-1.970459	0.158691	0.631104	-17.310092	-75.703846	102.046840
42156		9.438213	-0.740637	2.295114	-0.004063	0.002783	0.000968	-1.967285	0.164795	0.631104	-17.309140	-75.702244	102.044915
42157		9.462136	-0.774693	2.259762	-0.001339	0.003236	0.005476	-1.968262	0.163086	0.633545	-17.313978	-75.700173	102.050592
42158		9.421589	-0.729658	2.323645	-0.003155	0.002934	0.002471	-1.965576	0.168945	0.630615	-17.315881	-75.698277	102.052415
42159		9.459415	-0.738261	2.306859	-0.003904	0.000008	0.004195	-1.969238	0.164307	0.639893	-17.321597	-75.698190	102.057481
42160		9.445498	-0.764108	2.288214	-0.001801	0.002006	0.002148	-1.968994	0.157959	0.630127	-17.323067	-75.696935	102.060719
42161		9.421439	-0.730496	2.323990	0.000374	0.001463	-0.000862	-1.970947	0.155273	0.627930	-17.314510	-75.696915	102.053586
42162		9.466833	-0.760897	2.299682	-0.005330	0.003477	0.005481	-1.967041	0.163330	0.633545	-17.322657	-75.694151	102.057518
42163		9.437691	-0.742939	2.296515	-0.001426	0.003469	0.001286	-1.967529	0.168945	0.627930	-17.318399	-75.692668	102.053757
42164		9.437644	-0.743062	2.296670	-0.003991	0.000242	0.000005	-1.964111	0.162842	0.631104	-17.317482	-75.692615	102.053152
42165		9.466656	-0.761723	2.300136	0.000995	-0.000083	0.005693	-1.966797	0.158203	0.638672	-17.323665	-75.692322	102.061598
42166		9.445165	-0.765708	2.289057	-0.002175	0.000543	0.003010	-1.976074	0.159912	0.633057	-17.327453	-75.691811	102.063668
42167		9.437544	-0.744094	2.296747	-0.004437	0.001320	0.001830	-1.964355	0.168213	0.631836	-17.327525	-75.691410	102.062595
42168		9.437524	-0.744307	2.296761	-0.001729	-0.000535	0.001185	-1.976074	0.162354	0.627197	-17.328077	-75.691622	102.064364
42169		9.428637	-0.754548	2.317241	-0.002334	0.003318	-0.000216	-1.969971	0.156494	0.635986	-17.321219	-75.690477	102.057383
42170		9.458933	-0.741025	2.307950	-0.002478	-0.003461	0.002908	-1.969971	0.161865	0.632568	-17.327171	-75.691977	102.062719
42171		9.436219	-0.776982	2.309432	-0.002175	0.000543	0.003011	-1.966309	0.157227	0.635254	-17.328998	-75.691800	102.064794
42172		9.475332	-0.753447	2.279879	0.000462	0.001229	0.003329	-1.969482	0.165771	0.627930	-17.331252	-75.690808	102.066976
42173		9.420982	-0.733799	2.324803	-0.004811	-0.000143	0.002693	-1.973389	0.160400	0.625488	-17.334366	-75.691060	102.068821
42174		9.444962	-0.767759	2.289204	-0.000446	0.001078	0.001826	-1.971436	0.159912	0.627686	-17.334093	-75.690088	102.070552
42175		9.428495	-0.756249	2.317264	-0.002175	0.000543	0.003011	-1.967529	0.162842	0.642578	-17.335919	-75.689911	102.072628
42176		9.437322	-0.746448	2.296894	-0.004811	-0.000143	0.002693	-1.978516	0.158691	0.628662	-17.340971	-75.689790	102.075698
42177		9.436040	-0.778851	2.309535	-0.003457	-0.001071	0.002370	-1.965576	0.158447	0.628174	-17.343239	-75.690605	102.077470
42178		9.467616	-0.733430	2.287468	0.000087	-0.000235	0.004191	-1.968506	0.159424	0.631592	-17.348072	-75.690046	102.082609
42179		9.406984	-0.761074	2.305981	-0.003991	0.000242	0.000005	-1.966064	0.156006	0.623047	-17.344695	-75.690546	102.078240
42180		9.432241	-0.763037	2.257616	-0.002995	0.000157	0.005699	-1.965820	0.160400	0.631348	-17.354231	-75.689557	102.085037
