// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
33583		-3.664791	-0.950499	9.082599	-0.004516	0.009554	-0.005723	-0.605225	-0.226074	-0.496094	-5.746653	21.609172	23.818551
33584		-3.657929	-0.944927	9.104787	0.004670	0.007603	0.002978	-0.598389	-0.216797	-0.502197	-5.740458	21.610191	23.823070
33585		-3.638308	-0.935147	9.068711	-0.000431	0.009296	-0.001243	-0.594727	-0.221924	-0.500732	-5.738549	21.612305	23.824768
33586		-3.637058	-0.952318	9.098333	-0.002891	0.010477	-0.001996	-0.601807	-0.221680	-0.499756	-5.737875	21.614678	23.826060
33587		-3.665930	-0.967685	9.111254	-0.000679	0.008279	0.000195	-0.602539	-0.214600	-0.495850	-5.735774	21.616343	23.828434
33588		-3.646450	-0.958280	9.075084	-0.002464	0.012165	-0.000722	-0.605469	-0.221191	-0.496826	-5.734605	21.619752	23.830404
33589		-3.662454	-0.945402	9.102918	0.000243	0.012002	-0.001407	-0.601318	-0.226074	-0.500977	-5.732399	21.623332	23.832690
33590		-3.663467	-0.945390	9.102512	0.001259	0.010568	-0.001668	-0.600342	-0.227295	-0.497314	-5.729275	21.625776	23.834178
33591		-3.664467	-0.945389	9.102109	-0.001269	0.011402	0.001729	-0.600098	-0.228027	-0.504883	-5.727196	21.629256	23.836262
33592		-3.635488	-0.947470	9.118345	-0.004678	0.014366	-0.002917	-0.598389	-0.220215	-0.495850	-5.727842	21.633794	23.836750
33593		-3.664550	-0.963123	9.131144	-0.003321	0.008792	-0.003275	-0.606201	-0.214600	-0.500244	-5.728034	21.635535	23.836492
33594		-3.650387	-0.976560	9.102511	-0.003321	0.008792	-0.003275	-0.604980	-0.222900	-0.494385	-5.727857	21.636874	23.837104
33595		-3.690886	-0.939602	9.106145	-0.003911	0.011915	-0.001740	-0.593994	-0.227051	-0.502197	-5.728099	21.640374	23.839123
33596		-3.678708	-0.911833	9.120757	-0.003322	0.008793	-0.003276	-0.599609	-0.226318	-0.501221	-5.727923	21.641714	23.839734
33597		-3.647410	-0.955287	9.093877	-0.003749	0.007106	-0.004551	-0.604980	-0.229248	-0.500488	-5.728612	21.642459	23.838076
33598		-3.664896	-0.925830	9.091925	-0.004672	0.003382	-0.002949	-0.599854	-0.221924	-0.498535	-5.729012	21.640733	23.839220
33599		-3.670775	-0.949073	9.099184	-0.005373	0.006184	-0.008280	-0.600098	-0.221680	-0.499268	-5.731429	21.640645	23.835856
33600		-3.665740	-0.927185	9.091446	-0.004177	0.005419	-0.005827	-0.601074	-0.229492	-0.491455	-5.732242	21.639916	23.835110
33601		-3.666323	-0.927972	9.091131	-0.008919	0.008452	-0.004625	-0.607178	-0.222656	-0.506592	-5.735894	21.641287	23.833687
33602		-3.664770	-0.945719	9.120826	-0.004425	0.004401	-0.004389	-0.596680	-0.222900	-0.500488	-5.736502	21.640060	23.833886
33603		-3.659636	-0.923700	9.113149	-0.004426	0.004401	-0.004389	-0.608887	-0.222900	-0.495117	-5.737492	21.639247	23.833786
33604		-3.680630	-0.958228	9.075379	-0.007313	0.003895	-0.006421	-0.609131	-0.223145	-0.495850	-5.740203	21.637615	23.832769
33605		-3.650674	-0.960743	9.091992	-0.003835	0.001279	-0.005925	-0.605225	-0.228760	-0.501221	-5.741059	21.634736	23.831929
33606		-3.660279	-0.925959	9.112662	-0.007493	0.003227	-0.009136	-0.595215	-0.228516	-0.490479	-5.744471	21.632567	23.829289
33607		-3.664031	-0.966545	9.149870	-0.008084	0.006350	-0.007601	-0.601807	-0.221924	-0.497314	-5.748256	21.632577	23.825446
33608		-3.674069	-0.956107	9.097118	-0.007562	0.002877	-0.004984	-0.608398	-0.224854	-0.495117	-5.750761	21.630447	23.825375
33609		-3.644142	-0.958645	9.113721	-0.004854	0.002715	-0.005666	-0.600098	-0.226074	-0.493896	-5.752190	21.628455	23.824416
33610		-3.638979	-0.936861	9.106045	-0.006820	0.005936	-0.009300	-0.597656	-0.226807	-0.496826	-5.755314	21.627820	23.821509
33611		-3.667444	-0.952937	9.119000	-0.005624	0.005169	-0.006845	-0.599365	-0.224854	-0.497314	-5.757505	21.627210	23.818782
33612		-3.660234	-0.948087	9.141298	-0.005872	0.004150	-0.005407	-0.600830	-0.218262	-0.493652	-5.759165	21.625781	23.818372
33613		-3.640103	-0.939199	9.105355	-0.005872	0.004150	-0.005407	-0.602051	-0.222168	-0.491699	-5.761170	21.624666	23.817910
