// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
43858		-3.478112	-0.603462	9.216792	-0.001948	0.008204	-0.001087	-0.446289	-0.334229	-0.940674	-3.619718	20.609752	131.885329
43859		-3.469404	-0.578561	9.194806	-0.001878	0.005562	-0.003276	-0.455078	-0.322998	-0.933105	-3.619938	20.609332	131.884750
43860		-3.493918	-0.605425	9.235789	-0.002553	0.005782	-0.000541	-0.454102	-0.332031	-0.936035	-3.619878	20.609606	131.886509
43861		-3.502632	-0.614049	9.167518	-0.002553	0.005782	-0.000541	-0.447754	-0.339600	-0.942627	-3.619900	20.609411	131.887594
43862		-3.476177	-0.600409	9.249932	-0.002965	0.005277	-0.005135	-0.453613	-0.338135	-0.935791	-3.621008	20.609230	131.885293
43863		-3.490319	-0.585314	9.179352	-0.000863	0.008488	0.000772	-0.458008	-0.335205	-0.940918	-3.619816	20.610630	131.887075
43864		-3.486880	-0.581564	9.213107	-0.006053	0.005995	-0.007319	-0.455322	-0.337402	-0.940674	-3.623165	20.610712	131.883616
43865		-3.487464	-0.581915	9.212864	0.001813	0.007265	-0.001637	-0.456055	-0.328125	-0.933594	-3.620941	20.611325	131.883973
43866		-3.501519	-0.611424	9.200308	-0.004556	0.006784	-0.000867	-0.447998	-0.333496	-0.947021	-3.622087	20.612092	131.885127
43867		-3.474043	-0.581024	9.192899	-0.002796	0.006849	-0.001743	-0.451416	-0.326660	-0.936279	-3.622520	20.612464	131.885435
43868		-3.502822	-0.612010	9.199773	-0.000190	0.008267	-0.001962	-0.450684	-0.335693	-0.932617	-3.621462	20.614152	131.885917
43869		-3.470065	-0.605140	9.194629	-0.002796	0.006849	-0.001743	-0.452393	-0.333008	-0.932373	-3.621896	20.614524	131.886226
43870		-3.490827	-0.583042	9.211519	0.001330	0.009400	-0.004040	-0.449219	-0.328125	-0.934814	-3.620364	20.616678	131.884721
43871		-3.491366	-0.583296	9.211299	-0.003570	0.002854	-0.004589	-0.442383	-0.333984	-0.935791	-3.621799	20.614663	131.883446
43872		-3.482309	-0.603088	9.247451	-0.001229	0.004997	0.002521	-0.444092	-0.332764	-0.932129	-3.620305	20.614637	131.886340
43873		-3.472233	-0.605922	9.193759	-0.001036	0.006914	-0.002618	-0.456787	-0.341064	-0.940918	-3.619919	20.615014	131.886111
43874		-3.478073	-0.582497	9.191282	-0.002725	0.004207	-0.003932	-0.446777	-0.330078	-0.937500	-3.620613	20.614237	131.884329
43875		-3.469202	-0.602351	9.227362	-0.001277	0.007981	-0.003820	-0.448975	-0.334717	-0.939209	-3.620639	20.615182	131.883325
43876		-3.484516	-0.559340	9.188561	-0.001640	0.004492	-0.002073	-0.448730	-0.333008	-0.940430	-3.620367	20.614689	131.883396
43877		-3.474263	-0.607019	9.192920	-0.001881	0.005560	-0.003275	-0.446777	-0.325195	-0.943848	-3.620589	20.614268	131.882819
43878		-3.494836	-0.584882	9.209882	0.000290	0.006130	0.000443	-0.445313	-0.330566	-0.949463	-3.618737	20.614838	131.885000
43879		-3.476748	-0.579276	9.224223	-0.000192	0.008266	-0.001961	-0.451660	-0.331299	-0.937500	-3.617745	20.616012	131.885121
43880		-3.481464	-0.583735	9.189920	-0.003884	0.006562	-0.003601	-0.441895	-0.329102	-0.947266	-3.619147	20.616674	131.884481
43881		-3.481955	-0.584153	9.189707	-0.003402	0.004426	-0.001197	-0.452881	-0.331299	-0.932373	-3.619778	20.615680	131.885217
43882		-3.473023	-0.603931	9.225822	-0.000796	0.005844	-0.001415	-0.450439	-0.331055	-0.940674	-3.618925	20.615991	131.885987
43883		-3.506997	-0.611204	9.230450	-0.002558	0.005779	-0.000540	-0.454102	-0.331787	-0.946533	-3.618949	20.615795	131.887072
43884		-3.464688	-0.579174	9.203705	-0.002317	0.004711	0.000662	-0.450439	-0.324219	-0.936768	-3.618508	20.615491	131.889276
43885		-3.511941	-0.615805	9.196043	-0.001641	0.004491	-0.002073	-0.456055	-0.335693	-0.930664	-3.618319	20.614503	131.889475
43886		-3.480258	-0.581027	9.222789	-0.000120	0.005625	-0.004150	-0.455322	-0.327881	-0.937256	-3.617645	20.614454	131.889025
43887		-3.494067	-0.610376	9.210300	0.001447	0.003774	0.000113	-0.453125	-0.332031	-0.935303	-3.615207	20.613135	131.890587
43888		-3.485198	-0.585363	9.188401	-0.004562	0.006781	-0.000866	-0.451904	-0.335693	-0.944580	-3.616398	20.613875	131.892156
43889		-3.485817	-0.585550	9.188154	0.002485	0.007043	-0.004367	-0.449463	-0.333740	-0.941162	-3.614373	20.614264	131.890855
43890		-3.495746	-0.610941	9.209625	-0.006083	0.005647	0.001211	-0.457764	-0.332520	-0.930664	-3.615956	20.614526	131.892510
43891		-3.501719	-0.587614	9.207094	-0.001280	0.007979	-0.003818	-0.454102	-0.330566	-0.931885	-3.615983	20.615469	131.891508
43892		-3.478252	-0.605817	9.223728	0.000964	0.005909	-0.002290	-0.448975	-0.334473	-0.937988	-3.614271	20.615590	131.892038
43893		-3.482804	-0.610109	9.189482	-0.002560	0.005778	-0.000540	-0.447021	-0.333740	-0.935303	-3.614296	20.615392	131.893123
43894		-3.483333	-0.610165	9.189278	0.002726	0.005975	-0.003164	-0.460449	-0.328857	-0.933838	-3.611768	20.615671	131.891923
43895		-3.475692	-0.557419	9.199182	-0.007094	0.002721	-0.002840	-0.447266	-0.336426	-0.941406	-3.614844	20.613643	131.891721
43896		-3.469335	-0.609412	9.169533	-0.000557	0.004775	-0.000213	-0.449219	-0.330566	-0.938721	-3.613564	20.613270	131.893211
43897		-3.485936	-0.583104	9.220513	-0.001717	0.007130	0.000119	-0.453369	-0.335449	-0.946289	-3.612983	20.613870	131.894647
