// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
37575		-2.971332	5.487294	7.586603	-0.002453	0.005903	-0.001933	-0.717773	-0.588379	-0.269775	36.158307	17.601254	94.693965
37576		-3.007251	5.514413	7.617892	-0.003921	0.006148	-0.002717	-0.715088	-0.591797	-0.272461	36.158851	17.601017	94.694732
37577		-2.991699	5.474083	7.595012	-0.001496	0.003535	-0.006179	-0.722168	-0.586670	-0.274170	36.158999	17.601218	94.692432
37578		-2.994018	5.512444	7.578223	-0.005708	0.007182	-0.002085	-0.725098	-0.588135	-0.271240	36.158722	17.601246	94.693873
37579		-2.986526	5.492131	7.566779	-0.000346	0.004080	-0.003979	-0.723633	-0.587158	-0.272705	36.159914	17.600941	94.693149
37580		-2.982327	5.505695	7.598057	-0.002890	0.003654	-0.003016	-0.719238	-0.587891	-0.261475	36.160736	17.599652	94.692886
37581		-3.001902	5.492897	7.606471	-0.001742	0.004199	-0.000816	-0.720703	-0.593994	-0.275146	36.161617	17.598320	94.693376
37582		-2.970364	5.499028	7.617940	-0.002890	0.003654	-0.003016	-0.724121	-0.588379	-0.273193	36.162440	17.597032	94.693113
37583		-2.988218	5.491206	7.566782	-0.001742	0.004199	-0.000816	-0.721924	-0.598145	-0.275146	36.163312	17.595721	94.693921
37584		-2.996711	5.510965	7.578235	-0.002890	0.003654	-0.003016	-0.722900	-0.591064	-0.271240	36.164135	17.594433	94.693659
37585		-2.984389	5.504413	7.598176	-0.005316	0.006267	0.000447	-0.717041	-0.590332	-0.275146	36.163372	17.593655	94.695646
37586		-2.996043	5.471393	7.595238	-0.005068	0.005604	-0.004915	-0.721680	-0.583740	-0.270752	36.162877	17.593911	94.695154
37587		-2.998291	5.509744	7.578498	-0.003209	0.004444	-0.001600	-0.722412	-0.597412	-0.275146	36.162833	17.592964	94.695668
37588		-2.958717	5.495921	7.578488	-0.000984	0.005659	-0.001147	-0.717041	-0.586670	-0.270020	36.165236	17.591971	94.697023
37589		-2.986314	5.503092	7.598377	-0.004723	0.001524	-0.000937	-0.728271	-0.587646	-0.267334	36.164112	17.589456	94.696641
37590		-3.005832	5.490096	7.606941	-0.004037	0.003111	-0.005215	-0.721436	-0.586426	-0.273193	36.163897	17.588660	94.695119
37591		-2.983752	5.468436	7.555921	-0.004037	0.003111	-0.005215	-0.711670	-0.591797	-0.273682	36.162718	17.588300	94.693365
37592		-2.987673	5.501937	7.598679	-0.001624	0.007237	0.001685	-0.718994	-0.583252	-0.277588	36.165339	17.587079	94.696655
37593		-3.000759	5.508062	7.578743	-0.000711	0.001705	-0.001115	-0.722168	-0.587158	-0.277832	36.166512	17.584708	94.696483
37594		-2.988354	5.501581	7.598668	-0.004037	0.003111	-0.005215	-0.724121	-0.582764	-0.271973	36.166297	17.583912	94.694961
37595		-2.980784	5.481252	7.587262	-0.002772	0.006693	-0.000515	-0.721436	-0.586670	-0.269043	36.166920	17.583625	94.697050
37596		-2.987646	5.462279	7.615477	-0.001741	0.004199	-0.000815	-0.716797	-0.583740	-0.270264	36.168782	17.581844	94.698048
37597		-3.002394	5.507072	7.578816	-0.002498	0.002739	-0.000484	-0.721680	-0.596436	-0.268799	36.169148	17.579709	94.698295
37598		-2.989860	5.500670	7.598736	-0.002818	0.003528	0.000932	-0.715088	-0.590332	-0.280762	36.170577	17.577027	94.699903
37599		-2.969295	5.474139	7.607285	-0.005113	0.002441	-0.003468	-0.722656	-0.589111	-0.271729	36.168970	17.575795	94.698636
37600		-2.998633	5.520149	7.610285	0.001951	0.005170	0.000423	-0.728271	-0.587158	-0.273682	36.173232	17.574045	94.700579
37601		-2.982792	5.480184	7.587245	-0.001741	0.004200	-0.000815	-0.719971	-0.591064	-0.275635	36.174143	17.572698	94.701445
37602		-2.979913	5.532693	7.601749	0.000710	-0.001705	0.001115	-0.720215	-0.591553	-0.279053	36.177059	17.567533	94.701285
37603		-2.976538	5.498909	7.558975	-0.002061	0.004989	0.000601	-0.723633	-0.586914	-0.267822	36.178074	17.566096	94.703154
37604		-2.991344	5.500103	7.598562	0.000874	0.004498	0.002170	-0.711670	-0.588135	-0.270264	36.181903	17.563444	94.705707
37605		-2.980543	5.532550	7.601606	-0.003645	0.002196	-0.002684	-0.716797	-0.593994	-0.267578	36.181248	17.561797	94.704525
37606		-2.979167	5.493592	7.618424	-0.000273	0.003955	-0.000030	-0.715820	-0.582031	-0.269287	36.184039	17.559637	94.705817
37607		-3.005103	5.505877	7.578610	-0.002451	0.005905	-0.001930	-0.717529	-0.591553	-0.273926	36.184578	17.559450	94.706267
37608		-2.960946	5.505860	7.609899	-0.000983	0.005660	-0.001145	-0.722656	-0.590820	-0.275391	36.186982	17.558456	94.707623
37609		-2.999745	5.480553	7.626582	-0.001100	0.002622	-0.003646	-0.721924	-0.586182	-0.276611	36.187687	17.557346	94.706474
37610		-2.966246	5.491634	7.578653	-0.005799	0.000853	0.000809	-0.716553	-0.593018	-0.271973	36.187103	17.553468	94.707071
37611		-2.979442	5.497495	7.558858	-0.002404	0.009072	-0.003375	-0.710205	-0.585938	-0.278320	36.187795	17.555242	94.708349
37612		-2.981975	5.492144	7.618369	-0.003918	0.006151	-0.002714	-0.723145	-0.586426	-0.265381	36.188340	17.555006	94.709118
37613		-2.989016	5.516716	7.570282	-0.004307	0.007068	-0.005244	-0.728027	-0.583984	-0.272217	36.187461	17.556473	94.708676
37614		-2.989681	5.516253	7.570357	-0.004354	0.003902	-0.003799	-0.723633	-0.583008	-0.265137	36.187356	17.555564	94.708121
37615		-2.988500	5.477036	7.587272	-0.004354	0.003902	-0.003799	-0.720215	-0.589355	-0.270996	36.186336	17.555052	94.707366
37616		-2.984326	5.490443	7.618675	-0.003528	0.005234	-0.000183	-0.713379	-0.584473	-0.277832	36.187377	17.553536	94.709038
37617		-2.997624	5.496252	7.598874	-0.005064	0.005608	-0.004913	-0.717773	-0.591797	-0.276855	36.185960	17.554223	94.708360
37618		-2.977291	5.469719	7.607339	-0.001740	0.004200	-0.000814	-0.722168	-0.597900	-0.268311	36.187822	17.552442	94.709358
37619		-2.985814	5.489461	7.618799	-0.002887	0.003657	-0.003014	-0.722168	-0.580322	-0.269531	36.187721	17.551591	94.708609
37620		-2.979678	5.507923	7.590693	-0.005042	0.002313	0.000478	-0.715576	-0.592285	-0.270996	36.187678	17.548500	94.709565
37621		-2.992685	5.513866	7.570909	-0.001420	0.003412	-0.002229	-0.713379	-0.586670	-0.273193	36.188515	17.547245	94.709252
37622		-2.991402	5.474856	7.587701	-0.003207	0.004446	-0.001598	-0.724121	-0.587158	-0.278564	36.189448	17.545843	94.709957
37623		-2.980828	5.507160	7.590794	-0.002770	0.006695	-0.000512	-0.714111	-0.579590	-0.277588	36.190111	17.545538	94.711934
37624		-2.962079	5.519617	7.582368	0.000047	0.003167	-0.001444	-0.718994	-0.592773	-0.271240	36.192795	17.543493	94.712260
37625		-2.981973	5.506638	7.590723	-0.005840	0.007445	-0.009974	-0.715820	-0.593750	-0.273682	36.190403	17.546729	94.709774
37626		-2.982860	5.506020	7.590823	-0.005704	0.007186	-0.002081	-0.714600	-0.584961	-0.275146	36.190128	17.546758	94.711218
37627		-2.964435	5.518115	7.582540	-0.003984	0.006282	-0.006658	-0.715820	-0.590332	-0.275146	36.189162	17.548339	94.709796
37628		-2.978022	5.479955	7.639110	-0.005819	0.004149	-0.004583	-0.718506	-0.589111	-0.268799	36.188131	17.547810	94.708948
37629		-2.984927	5.504486	7.591123	-0.003274	0.004576	-0.005543	-0.718018	-0.584961	-0.272461	36.187557	17.548214	94.707377
37630		-3.012871	5.511460	7.610959	-0.003916	0.006153	-0.002711	-0.722656	-0.581543	-0.274170	36.188104	17.547978	94.708148
37631		-2.978035	5.483753	7.579736	-0.004237	0.006941	-0.001295	-0.719238	-0.598389	-0.276855	36.187858	17.548026	94.709799
37632		-2.986690	5.503386	7.591227	-0.002885	0.003659	-0.003013	-0.725342	-0.580811	-0.272461	36.188684	17.546739	94.709538
37633		-2.982602	5.516849	7.622570	-0.002128	0.005120	-0.003342	-0.715332	-0.587402	-0.275146	36.189151	17.546648	94.709455
37634		-2.992260	5.489144	7.559865	-0.001740	0.004201	-0.000812	-0.721436	-0.591064	-0.273193	36.191014	17.544867	94.710454
37635		-2.968988	5.515216	7.582868	-0.003594	0.005365	-0.004127	-0.723633	-0.584717	-0.271973	36.190556	17.545156	94.709977
37636		-2.961474	5.494865	7.571449	-0.003915	0.006154	-0.002711	-0.715332	-0.592529	-0.270264	36.191103	17.544920	94.710748
37637		-2.983062	5.520619	7.563050	-0.004303	0.007072	-0.005241	-0.718018	-0.586426	-0.282471	36.190268	17.546363	94.710225
37638		-2.977665	5.495128	7.611132	-0.003867	0.009322	-0.004153	-0.725098	-0.590820	-0.272461	36.190971	17.548081	94.711421
