// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
13489		-4.572133	-5.271521	7.138437	-0.008800	0.001174	0.003125	0.257813	0.309570	0.093750	-37.049758	26.585642	-42.099743
13490		-4.587908	-5.286541	7.110474	-0.007763	0.007853	0.006093	0.259766	0.302246	0.096680	-37.053190	26.590091	-42.102292
13491		-4.557409	-5.272186	7.106460	-0.005233	0.005384	-0.003933	0.251709	0.294678	0.095215	-37.055908	26.589044	-42.108594
13492		-4.607357	-5.250563	7.099861	-0.009933	0.001709	0.008631	0.260010	0.304443	0.097900	-37.058941	26.591559	-42.107473
13493		-4.583240	-5.295164	7.131222	-0.006361	0.001825	0.001902	0.259277	0.307861	0.093262	-37.060340	26.590960	-42.109410
13494		-4.568329	-5.280811	7.158152	-0.005577	0.001716	0.004539	0.251465	0.305908	0.093506	-37.061815	26.592066	-42.110385
13495		-4.531000	-5.288143	7.118945	-0.004355	-0.000006	0.004092	0.270996	0.305908	0.100586	-37.061230	26.591436	-42.110487
13496		-4.580808	-5.266235	7.112641	-0.004618	0.001395	0.003103	0.261230	0.303955	0.094238	-37.062429	26.591899	-42.112072
13497		-4.531609	-5.288342	7.118409	-0.002354	0.002256	0.005954	0.264648	0.302490	0.096436	-37.060650	26.592995	-42.112090
13498		-4.591557	-5.273878	7.165177	-0.005318	0.004410	0.005199	0.256592	0.308350	0.092041	-37.062292	26.595560	-42.113768
13499		-4.570327	-5.281300	7.156516	-0.005055	0.003009	0.006187	0.258301	0.294189	0.096436	-37.062120	26.597126	-42.113950
13500		-4.571063	-5.281239	7.156090	-0.001836	0.007643	0.007275	0.258789	0.299316	0.089111	-37.061851	26.601886	-42.115815
13501		-4.556119	-5.281107	7.124837	-0.007496	0.006455	0.007079	0.256348	0.301270	0.092773	-37.063449	26.605382	-42.116863
13502		-4.600521	-5.266656	7.140614	-0.007234	0.005054	0.008067	0.256348	0.301514	0.097168	-37.065643	26.609232	-42.117324
13503		-4.579525	-5.274091	7.131797	-0.005057	0.007105	0.005858	0.262451	0.303223	0.099609	-37.066220	26.612653	-42.119240
13504		-4.558514	-5.281617	7.122927	-0.008975	0.005486	0.006864	0.256836	0.304932	0.104248	-37.069763	26.616285	-42.120482
13505		-4.574448	-5.296515	7.094899	-0.008712	0.004085	0.007851	0.255371	0.305664	0.093994	-37.071440	26.619060	-42.120207
13506		-4.603434	-5.267412	7.138179	-0.004791	0.001609	0.007172	0.256592	0.308350	0.092285	-37.071844	26.621026	-42.119794
13507		-4.582075	-5.274891	7.129568	-0.008013	0.001071	0.005755	0.260986	0.304443	0.093994	-37.073069	26.621751	-42.119421
13508		-4.563997	-5.311840	7.138596	-0.002353	0.002257	0.005952	0.259521	0.302979	0.100098	-37.072468	26.623592	-42.119883
13509		-4.567181	-5.274892	7.098173	-0.007491	0.002363	0.007404	0.250488	0.300537	0.096680	-37.073229	26.625520	-42.119161
13510		-4.592869	-5.297234	7.123485	-0.006011	0.003333	0.007618	0.262939	0.300049	0.090088	-37.074528	26.628429	-42.119186
13511		-4.553228	-5.260429	7.124623	-0.004268	0.002901	0.008820	0.251221	0.305664	0.092285	-37.073204	26.631140	-42.117944
13512		-4.594175	-5.297152	7.122704	-0.003572	0.003981	0.006398	0.257568	0.299561	0.097168	-37.073498	26.633923	-42.118844
13513		-4.532829	-5.267537	7.115682	-0.001570	0.006243	0.008261	0.264404	0.301758	0.094971	-37.071322	26.638013	-42.119173
13514		-4.602349	-5.275027	7.157403	-0.007229	0.005058	0.008063	0.260986	0.292725	0.101563	-37.073516	26.641864	-42.119638
13515		-4.578089	-5.252824	7.131074	-0.004007	0.005596	0.009480	0.253906	0.301270	0.090576	-37.072328	26.646119	-42.119086
13516		-4.566340	-5.282085	7.117565	-0.004267	0.002903	0.008818	0.255371	0.308350	0.097900	-37.072278	26.649245	-42.118332
13517		-4.567020	-5.282107	7.117112	-0.006270	0.004737	0.006628	0.261719	0.304199	0.099854	-37.072877	26.652165	-42.118900
13518		-4.605341	-5.274943	7.155540	-0.004267	0.002903	0.008818	0.260254	0.308105	0.093262	-37.072827	26.655291	-42.118146
13519		-4.559107	-5.259979	7.121195	-0.004267	0.002904	0.008817	0.265869	0.301025	0.092041	-37.071444	26.658171	-42.116879
13520		-4.574952	-5.274626	7.093365	-0.007749	0.003769	0.006412	0.258545	0.304199	0.098145	-37.074091	26.660862	-42.117691
