// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
25878		-2.742536	6.891149	6.448062	-0.009007	0.004983	-0.005174	0.581299	-0.353760	-0.101807	47.157392	16.190146	-72.008863
25879		-2.719072	6.874926	6.417517	-0.006303	0.004941	-0.009465	0.577393	-0.355469	-0.092529	47.155276	16.191697	-72.010323
25880		-2.759835	6.901313	6.392225	-0.007710	0.005487	-0.006036	0.589111	-0.354492	-0.095703	47.152712	16.190655	-72.010152
25881		-2.746337	6.897032	6.482768	-0.007492	0.003383	-0.011170	0.587646	-0.356689	-0.089600	47.149531	16.192315	-72.012986
25882		-2.722926	6.880803	6.452215	-0.006625	0.004114	-0.007458	0.577393	-0.356689	-0.096680	47.147252	16.191359	-72.013995
25883		-2.740614	6.899772	6.429417	-0.003927	0.008053	-0.006056	0.572998	-0.352783	-0.085449	47.147262	16.192690	-72.012711
25884		-2.759451	6.926752	6.440177	-0.004774	0.000546	-0.008294	0.575195	-0.357178	-0.094482	47.145499	16.190711	-72.015623
25885		-2.730741	6.930572	6.422830	-0.008032	0.004658	-0.004029	0.584961	-0.354492	-0.105957	47.142972	16.189868	-72.015002
25886		-2.748942	6.886089	6.450739	-0.007602	0.004432	-0.008604	0.585205	-0.357422	-0.094482	47.140029	16.189552	-72.016340
25887		-2.760358	6.916918	6.407702	-0.005437	0.005669	-0.005753	0.578857	-0.349854	-0.092041	47.138917	16.189828	-72.015976
25888		-2.739388	6.916805	6.444114	-0.005117	0.006494	-0.007760	0.585205	-0.352051	-0.094482	47.137739	16.189986	-72.016072
25889		-2.768319	6.903852	6.428511	-0.006626	0.004111	-0.007459	0.582031	-0.351807	-0.095947	47.135563	16.190370	-72.017081
25890		-2.752439	6.883813	6.451677	-0.003608	0.008876	-0.008062	0.583008	-0.355957	-0.081787	47.135501	16.191606	-72.016260
25891		-2.747151	6.895304	6.431420	-0.004352	0.004297	-0.007175	0.579590	-0.348877	-0.096436	47.134683	16.191944	-72.017073
25892		-2.748011	6.894702	6.431697	-0.008479	0.007675	-0.006623	0.576660	-0.348633	-0.096191	47.131834	16.192129	-72.016195
25893		-2.773108	6.909610	6.462911	-0.003586	0.002101	-0.006590	0.583740	-0.351318	-0.094482	47.131253	16.191365	-72.017731
25894		-2.750809	6.901598	6.465738	-0.005118	0.006492	-0.007761	0.584473	-0.351807	-0.089844	47.130047	16.191591	-72.017835
25895		-2.749158	6.885128	6.398842	-0.006627	0.004108	-0.007460	0.583740	-0.357178	-0.089600	47.127870	16.191975	-72.018847
25896		-2.752399	6.900484	6.466250	-0.004463	0.005347	-0.004608	0.584717	-0.354980	-0.094971	47.127249	16.190453	-72.018174
25897		-2.770133	6.919467	6.443422	-0.005885	0.008685	-0.008346	0.577637	-0.345459	-0.097412	47.125954	16.192993	-72.017544
25898		-2.729956	6.883980	6.435626	-0.004142	0.006171	-0.006615	0.587402	-0.358398	-0.096191	47.125381	16.192658	-72.017328
25899		-2.783093	6.886785	6.450645	0.000086	0.005722	-0.004039	0.579834	-0.363281	-0.093750	47.127634	16.192234	-72.016245
25900		-2.725018	6.895509	6.415202	-0.002510	0.004708	-0.002317	0.579102	-0.347412	-0.097412	47.128291	16.189547	-72.014927
25901		-2.750028	6.910645	6.446191	-0.003055	0.004801	-0.008037	0.575684	-0.353271	-0.101074	47.128180	16.190443	-72.015870
25902		-2.750928	6.910226	6.446256	-0.003932	0.008046	-0.006055	0.580811	-0.357422	-0.093506	47.128002	16.190643	-72.014611
25903		-2.779859	6.897487	6.430363	-0.001868	0.006358	-0.006331	0.579834	-0.358887	-0.096680	47.128954	16.191430	-72.014181
25904		-2.734512	6.882045	6.435761	-0.005441	0.005662	-0.005755	0.576416	-0.355469	-0.092773	47.127649	16.190600	-72.013844
25905		-2.753431	6.909065	6.446432	-0.001869	0.006357	-0.006331	0.579834	-0.358154	-0.095215	47.128601	16.191386	-72.013414
25906		-2.754272	6.908662	6.446505	-0.006319	0.008906	-0.003773	0.584961	-0.363770	-0.101563	47.127404	16.191006	-72.010856
