// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
07383		-4.410178	-5.396653	7.106175	-0.005482	0.000199	0.003466	-0.808350	0.860596	-0.990479	-37.202726	26.203673	111.025785
07384		-4.421990	-5.420113	7.128671	-0.007737	-0.001116	0.001698	-0.810303	0.855225	-0.992188	-37.205606	26.202570	111.024845
07385		-4.443160	-5.422164	7.115817	-0.007942	0.001562	0.005679	-0.806152	0.859131	-0.987793	-37.207828	26.204563	111.024910
07386		-4.409894	-5.422202	7.106824	-0.007468	0.001178	-0.002221	-0.807373	0.854736	-0.991943	-37.211825	26.203150	111.021092
07387		-4.422543	-5.421453	7.127309	-0.005980	0.002642	0.002564	-0.805420	0.853760	-0.990479	-37.213811	26.204559	111.019208
07388		-4.410221	-5.423028	7.105991	-0.007873	-0.002264	0.003656	-0.806885	0.859375	-0.983643	-37.216133	26.203611	111.019708
07389		-4.410286	-5.423228	7.105798	-0.001962	-0.001081	0.003114	-0.804199	0.859375	-0.995361	-37.215067	26.203504	111.019765
07390		-4.402023	-5.420440	7.138975	-0.004288	0.001429	0.003369	-0.806641	0.864258	-0.994873	-37.216029	26.204142	111.018693
07391		-4.402266	-5.420639	7.138674	-0.005483	0.000198	0.003464	-0.812744	0.866211	-0.999268	-37.217113	26.204769	111.018205
07392		-4.423442	-5.422405	7.126026	-0.002595	0.000215	0.004173	-0.805420	0.855713	-0.990967	-37.216718	26.205132	111.018010
07393		-4.402858	-5.420681	7.138277	-0.002168	0.001595	0.007095	-0.806641	0.861328	-0.993408	-37.215330	26.207631	111.018668
07394		-4.411584	-5.423582	7.104722	-0.004851	-0.001099	0.002404	-0.802979	0.858154	-0.988037	-37.216401	26.206781	111.018082
07395		-4.423997	-5.422527	7.125589	-0.000563	-0.002527	-0.000964	-0.810547	0.855713	-0.996338	-37.215208	26.204607	111.016667
07396		-4.390544	-5.422142	7.117040	-0.002595	0.000215	0.004172	-0.801270	0.855957	-0.986572	-37.214814	26.204970	111.016472
07397		-4.411881	-5.423666	7.104473	-0.002303	0.000447	0.009053	-0.807861	0.851563	-0.993164	-37.212872	26.207608	111.018353
07398		-4.433239	-5.425266	7.091833	-0.004288	0.001428	0.003368	-0.809570	0.861572	-0.989014	-37.213835	26.208245	111.017280
07399		-4.392316	-5.397701	7.114635	-0.002098	-0.002230	0.005072	-0.799072	0.860840	-0.994873	-37.212225	26.208265	111.018287
07400		-4.433619	-5.425267	7.091595	-0.002596	0.000214	0.004172	-0.802246	0.859619	-0.987305	-37.211830	26.208627	111.018093
07401		-4.422141	-5.402153	7.068628	-0.002596	0.000214	0.004172	-0.805664	0.857422	-0.988037	-37.211126	26.209504	111.018460
07402		-4.392793	-5.397826	7.114245	-0.004083	-0.001248	-0.000614	-0.809326	0.855957	-0.996338	-37.212410	26.207540	111.016396
07403		-4.425634	-5.422574	7.124536	-0.000476	0.000380	0.007898	-0.811035	0.855225	-0.998291	-37.209683	26.209733	111.017682
07404		-4.425983	-5.422417	7.124440	-0.002596	0.000214	0.004171	-0.808838	0.855469	-0.984863	-37.209289	26.210094	111.017487
07405		-4.414535	-5.399344	7.101425	-0.004424	0.000280	0.005325	-0.807373	0.856201	-0.990234	-37.209392	26.211326	111.017338
07406		-4.426417	-5.422538	7.124078	-0.003159	-0.002313	0.003207	-0.806152	0.862305	-0.996094	-37.209106	26.210200	111.017628
07407		-4.426467	-5.422580	7.124014	-0.001964	-0.001083	0.003112	-0.803223	0.861816	-0.984375	-37.208067	26.210081	111.017407
07408		-4.413334	-5.448049	7.104924	-0.000904	-0.001000	0.004975	-0.808350	0.860840	-0.997070	-37.206315	26.210167	111.018090
07409		-4.406697	-5.396472	7.134419	-0.004560	-0.000869	0.007283	-0.805420	0.853516	-0.988037	-37.205881	26.211589	111.020712
07410		-4.380982	-5.423239	7.094381	-0.000699	-0.003676	0.000994	-0.802490	0.854492	-0.985107	-37.204450	26.209075	111.020402
07411		-4.435394	-5.425392	7.090389	-0.005484	0.000197	0.003461	-0.807617	0.864502	-0.985352	-37.205582	26.209628	111.020012
07412		-4.418572	-5.419716	7.157039	0.001557	-0.002363	0.002762	-0.812744	0.857910	-0.991211	-37.202686	26.208326	111.020095
07413		-4.394542	-5.397664	7.113287	-0.003364	0.000361	0.007187	-0.801514	0.855713	-0.993164	-37.201819	26.210228	111.022457
07414		-4.403347	-5.400345	7.079837	0.000292	0.000230	0.004880	-0.810547	0.856201	-0.992432	-37.199614	26.210842	111.022616
07415		-4.406933	-5.420425	7.135956	-0.001536	0.000295	0.006033	-0.801270	0.847168	-0.998047	-37.197911	26.212347	111.022624
07416		-4.416453	-5.398853	7.100605	-0.002596	0.000213	0.004170	-0.802490	0.850098	-0.990479	-37.197518	26.212708	111.022429
07417		-4.408363	-5.395939	7.133792	-0.002169	0.001591	0.007092	-0.811279	0.848389	-0.997314	-37.196130	26.215182	111.020903
07418		-4.408507	-5.395864	7.133760	-0.000700	-0.003676	0.000993	-0.813477	0.857910	-0.996826	-37.194700	26.212668	111.020593
07419		-4.429568	-5.397442	7.121305	-0.003365	0.000361	0.007186	-0.815186	0.865723	-0.991211	-37.193793	26.214556	111.019899
07420		-4.387239	-5.418432	7.147882	-0.002869	-0.002085	0.008084	-0.806152	0.869385	-0.990479	-37.192283	26.215224	111.022582
07421		-4.442647	-5.395991	7.142057	-0.000768	0.000147	0.003016	-0.798828	0.856201	-0.989502	-37.190851	26.215600	111.023722
07422		-4.417075	-5.422641	7.102027	-0.000905	-0.001002	0.004973	-0.802734	0.854248	-0.988525	-37.189100	26.215685	111.024405
07423		-4.429699	-5.421464	7.122855	-0.004853	-0.001099	0.002401	-0.798584	0.856934	-0.989014	-37.189893	26.215300	111.024050
07424		-4.422080	-5.394390	7.154226	-0.002101	-0.002232	0.005067	-0.806641	0.853027	-0.992920	-37.188597	26.214856	111.025256
