// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
64213		9.188971	-0.186971	1.612886	0.526566	0.222148	-0.181035	-0.519531	-0.209961	0.541748	7.803160	-80.923303	135.573588
64214		9.124889	-0.033494	1.652796	0.505514	0.206306	-0.157783	-0.521484	-0.209473	0.535400	8.550480	-80.795052	135.115560
64215		9.189001	0.257240	1.618351	0.465142	0.188419	-0.133318	-0.525635	-0.201172	0.536621	9.174422	-80.676712	134.757891
64216		9.253059	0.464700	1.624729	0.446464	0.173387	-0.095740	-0.529053	-0.199219	0.536865	9.665724	-80.571339	134.524750
64217		9.223994	0.597114	1.555207	0.417302	0.151266	-0.059067	-0.531982	-0.197998	0.532471	10.008298	-80.479751	134.425499
64218		9.040884	0.718337	1.391259	0.388899	0.104695	-0.023440	-0.533203	-0.201416	0.545654	10.253324	-80.419945	134.408531
64219		8.912855	0.794796	1.192215	0.338970	0.055588	0.010432	-0.514648	-0.199463	0.531006	10.372936	-80.389122	134.489417
64220		8.832142	0.838143	0.990758	0.295036	0.006793	0.028943	-0.527588	-0.196777	0.534912	10.447877	-80.389896	134.590406
64221		8.829241	0.856615	0.773315	0.241396	-0.048280	0.042951	-0.533203	-0.191895	0.530518	10.470448	-80.421459	134.712190
64222		8.922388	0.888540	0.643483	0.170216	-0.102506	0.056525	-0.523926	-0.189209	0.538086	10.448382	-80.486701	134.839008
64223		9.146525	0.934948	0.422237	0.082335	-0.145702	0.070424	-0.527100	-0.189697	0.533691	10.341540	-80.575385	135.000545
64224		9.376501	0.918461	0.350874	-0.006891	-0.192043	0.079003	-0.530029	-0.187256	0.541748	10.192824	-80.693331	135.152812
64225		9.521081	0.962185	0.458515	-0.072366	-0.230438	0.099202	-0.520020	-0.196533	0.541992	9.942731	-80.832658	135.369715
64226		9.517032	0.869770	0.593584	-0.108222	-0.267518	0.125090	-0.523926	-0.190430	0.540527	9.608082	-80.997487	135.651361
64227		9.535534	0.662546	0.676346	-0.124610	-0.289934	0.146005	-0.521240	-0.189941	0.543945	9.181374	-81.174896	136.015526
64228		9.743325	0.489724	0.804431	-0.156005	-0.312763	0.147454	-0.526611	-0.192139	0.549072	8.736414	-81.366677	136.380801
64229		9.980917	0.258942	0.880676	-0.185338	-0.331130	0.116996	-0.517578	-0.194092	0.552490	8.372313	-81.563972	136.646661
64230		10.084848	0.164015	0.897297	-0.211755	-0.349533	0.073072	-0.518799	-0.196777	0.543945	8.170934	-81.769790	136.733097
64231		10.078901	0.224046	0.873766	-0.232692	-0.369595	0.032502	-0.510498	-0.194336	0.553467	8.116733	-81.981827	136.657466
64232		9.910968	0.357878	0.829106	-0.243122	-0.385814	0.000866	-0.514160	-0.190186	0.551025	8.205939	-82.202325	136.432291
64233		9.740236	0.550465	0.765720	-0.251696	-0.396441	-0.011534	-0.510742	-0.193848	0.554688	8.347599	-82.426277	136.149041
64234		9.666667	0.572942	0.742799	-0.217682	-0.400685	-0.026928	-0.505371	-0.193848	0.557373	8.604032	-82.652683	135.770149
64235		9.604170	0.594464	0.742177	-0.203537	-0.391712	-0.044461	-0.502441	-0.191895	0.561279	8.949323	-82.870779	135.309932
64236		9.520424	0.543468	0.743947	-0.183870	-0.397272	-0.062077	-0.503174	-0.197510	0.565430	9.430859	-83.091409	134.724127
64237		9.354935	0.611109	0.637644	-0.176898	-0.396421	-0.074145	-0.498291	-0.201172	0.562744	9.995305	-83.308761	134.059438
64238		9.240172	0.676242	0.672510	-0.160484	-0.386760	-0.081932	-0.497803	-0.199463	0.564453	10.654179	-83.519967	133.309134
64239		9.187858	0.675869	0.722591	-0.156016	-0.381367	-0.080622	-0.500244	-0.199463	0.566162	11.338071	-83.725962	132.536185
64240		9.141677	0.664584	0.740736	-0.139148	-0.382054	-0.073272	-0.497803	-0.199707	0.569824	12.056332	-83.933413	131.739051
64241		9.176439	0.597376	0.735058	-0.131677	-0.383371	-0.069203	-0.492188	-0.206055	0.575928	12.793589	-84.139368	130.927732
64242		9.242179	0.560427	0.687435	-0.116996	-0.388063	-0.063588	-0.492188	-0.202148	0.570557	13.589639	-84.349133	130.065775
64243		9.301769	0.510219	0.697017	-0.103258	-0.386666	-0.061356	-0.488770	-0.199707	0.573242	14.426158	-84.555886	129.171284
64244		9.276112	0.524848	0.763650	-0.093832	-0.388501	-0.053202	-0.487549	-0.208252	0.574707	15.307104	-84.764805	128.237998
64245		9.257214	0.575288	0.746883	-0.081261	-0.388978	-0.045987	-0.481201	-0.207520	0.581055	16.205880	-84.972224	127.294446
64246		9.321008	0.587475	0.790624	-0.072332	-0.391881	-0.041221	-0.474854	-0.207031	0.585449	17.185279	-85.182093	126.275317
64247		9.313985	0.587481	0.845122	-0.060835	-0.394482	-0.040732	-0.475586	-0.210693	0.580322	18.249556	-85.391263	125.177856
64248		9.250023	0.521481	0.838001	-0.055247	-0.406821	-0.031325	-0.473145	-0.210693	0.583496	19.399674	-85.607673	123.997919
64249		9.194032	0.415154	0.934731	-0.048099	-0.412762	-0.029527	-0.473389	-0.213623	0.592529	20.660053	-85.824464	122.711147
64250		9.189024	0.390305	1.013077	-0.048170	-0.415247	-0.024495	-0.468994	-0.211426	0.582520	22.046763	-86.042505	121.298756
64251		9.235016	0.400022	1.122884	-0.064322	-0.429313	-0.023818	-0.471191	-0.208252	0.593262	23.610062	-86.264279	119.699685
64252		9.264775	0.492556	1.167339	-0.079965	-0.442325	-0.019728	-0.467529	-0.207275	0.595947	25.401464	-86.491745	117.864275
64253		9.374410	0.553209	1.157382	-0.089126	-0.444401	-0.014244	-0.465332	-0.205078	0.596680	27.364729	-86.716763	115.852223
64254		9.438503	0.617979	1.175971	-0.108523	-0.444272	0.002586	-0.454346	-0.213135	0.604248	29.483821	-86.942852	113.673093
64255		9.540180	0.742227	1.179758	-0.128348	-0.448679	0.022065	-0.454102	-0.208008	0.605469	31.734144	-87.171510	111.351944
64256		9.663316	0.805291	0.985122	-0.129566	-0.452846	0.046431	-0.448486	-0.210693	0.603760	34.190917	-87.405162	108.823582
64257		9.803951	0.782849	0.852653	-0.133167	-0.445790	0.065438	-0.448242	-0.202393	0.609375	36.828732	-87.636069	106.112798
64258		10.056069	0.655159	0.690229	-0.129420	-0.411713	0.073296	-0.459961	-0.215088	0.602051	39.649707	-87.848759	103.220903
64259		10.344501	0.503231	0.646659	-0.139674	-0.396918	0.078906	-0.453125	-0.206787	0.609619	42.774472	-88.050322	100.020119
64260		10.499636	0.380969	0.634656	-0.134237	-0.401482	0.068086	-0.451172	-0.208740	0.611328	46.892351	-88.242323	95.828613
64261		10.619959	0.332561	0.596198	-0.140817	-0.410507	0.062414	-0.447754	-0.217041	0.615723	52.117399	-88.423255	90.527050
64262		10.592844	0.341098	0.545764	-0.154437	-0.416021	0.064906	-0.442139	-0.214355	0.610840	58.809942	-88.590344	83.749203
64263		10.596431	0.347230	0.444246	-0.173244	-0.415080	0.073754	-0.437500	-0.216553	0.620850	66.937680	-88.737419	75.525126
64264		10.395271	0.289336	0.293390	-0.177934	-0.402264	0.065887	-0.425293	-0.214355	0.620850	76.750229	-88.846150	65.613911
64265		10.143771	0.151464	0.165139	-0.172478	-0.391566	0.048736	-0.424072	-0.217529	0.617920	87.839117	-88.905095	54.429548
64266		9.945073	0.025914	0.094179	-0.165662	-0.375265	0.034539	-0.430176	-0.213135	0.621582	99.180100	-88.911760	42.997057
64267		9.766824	-0.023462	0.024085	-0.152977	-0.364372	0.017226	-0.420654	-0.222412	0.626709	109.709664	-88.869911	32.383412
64268		9.694976	-0.012798	-0.017980	-0.147016	-0.346382	0.011525	-0.423828	-0.217773	0.618408	118.724278	-88.793755	23.288155
64269		9.635205	0.018438	-0.062894	-0.141796	-0.330281	0.017973	-0.423340	-0.218018	0.625488	126.237726	-88.701068	15.696653
64270		9.573384	0.072943	-0.130421	-0.131692	-0.314360	0.031045	-0.420898	-0.213867	0.624512	132.611801	-88.599350	9.250813
64271		9.472693	0.088736	-0.205347	-0.131022	-0.298971	0.048570	-0.423828	-0.218262	0.632080	138.108888	-88.497798	3.682816
64272		9.456472	0.096330	-0.219060	-0.121216	-0.284040	0.065295	-0.418457	-0.222412	0.629639	142.966220	-88.394685	-1.240302
64273		9.443680	0.069393	-0.239971	-0.115451	-0.267931	0.076251	-0.421143	-0.214600	0.636963	147.214498	-88.294387	-5.550965
