// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
07286		-5.766667	-0.743863	8.127241	-0.004780	0.000812	0.003188	-0.597900	0.187744	-1.186279	-5.087794	35.323286	106.106577
07287		-5.766849	-0.744143	8.127087	-0.007320	0.002980	0.004157	-0.593750	0.179443	-1.192139	-5.090227	35.324838	106.103655
07288		-5.780048	-0.763598	8.134934	-0.006422	0.003648	0.002230	-0.592285	0.188965	-1.182373	-5.092700	35.327058	106.102259
07289		-5.754469	-0.725797	8.118558	-0.006722	0.001552	0.003818	-0.594238	0.184570	-1.187744	-5.094808	35.328151	106.101807
07290		-5.784213	-0.730015	8.135862	-0.006422	0.003647	0.002229	-0.589111	0.183350	-1.187500	-5.097281	35.330371	106.100410
07291		-5.780237	-0.746009	8.105237	-0.003437	0.001499	0.002896	-0.592773	0.184326	-1.183350	-5.097856	35.331470	106.100407
07292		-5.767953	-0.745821	8.126149	-0.008512	0.000846	0.002472	-0.588135	0.186768	-1.184326	-5.101327	35.332103	106.099355
07293		-5.768147	-0.746185	8.125978	-0.003137	0.003594	0.001308	-0.593018	0.185303	-1.181396	-5.102551	35.334276	106.104717
07294		-5.780715	-0.746938	8.104811	-0.006124	0.000125	0.003478	-0.594971	0.187012	-1.184326	-5.104221	35.334549	106.104414
07295		-5.773096	-0.749505	8.185317	-0.004781	0.000812	0.003187	-0.593994	0.182373	-1.193848	-5.105569	35.334992	106.107921
07296		-5.781440	-0.765974	8.133721	-0.005378	0.002239	0.003526	-0.589600	0.188232	-1.189453	-5.106869	35.336473	106.107519
07297		-5.768611	-0.747163	8.125559	-0.004629	-0.000634	0.001212	-0.591309	0.187988	-1.187988	-5.108730	35.336368	106.103800
07298		-5.785243	-0.732131	8.134940	-0.004334	0.000830	0.004823	-0.591309	0.179443	-1.186523	-5.108856	35.337111	106.104393
07299		-5.768791	-0.747572	8.125394	-0.005825	0.002220	0.001890	-0.583496	0.182861	-1.188721	-5.111221	35.338567	106.103686
07300		-5.785639	-0.732579	8.134618	-0.006427	0.003015	0.007427	-0.589844	0.187988	-1.191406	-5.111571	35.340690	106.105965
07301		-5.781631	-0.748283	8.104033	-0.001049	0.000776	0.003902	-0.591064	0.182373	-1.192627	-5.110347	35.341766	106.110967
07302		-5.757022	-0.747210	8.145962	-0.003588	0.002943	0.004871	-0.584473	0.184814	-1.181885	-5.110103	35.343719	106.111462
07303		-5.782117	-0.748180	8.103696	-0.002244	0.003630	0.004580	-0.592773	0.184814	-1.186768	-5.109362	35.346301	106.115674
07304		-5.786615	-0.732483	8.133932	-0.004034	0.002925	0.003234	-0.593262	0.179932	-1.185791	-5.110035	35.348160	106.115025
07305		-5.770167	-0.747754	8.124400	-0.002393	0.000089	0.004192	-0.605957	0.177979	-1.185791	-5.109392	35.348359	106.113405
07306		-5.799348	-0.733070	8.112655	-0.005530	0.003683	0.005500	-0.598145	0.181641	-1.187012	-5.110032	35.350767	106.114294
07307		-5.783136	-0.748570	8.102933	-0.007020	0.005074	0.002567	-0.588867	0.181152	-1.182129	-5.112813	35.353208	106.100168
07308		-5.796385	-0.767910	8.110742	-0.004932	0.002256	0.005160	-0.586914	0.189941	-1.189697	-5.113196	35.354783	106.100908
07309		-5.745895	-0.728834	8.136563	-0.005233	0.000160	0.006747	-0.586182	0.180176	-1.190918	-5.113256	35.355442	106.109885
07310		-5.800868	-0.752392	8.140975	-0.005379	0.002238	0.003524	-0.589355	0.177246	-1.190186	-5.114557	35.356924	106.109481
07311		-5.771549	-0.748839	8.123318	-0.005825	0.002221	0.001888	-0.599121	0.185059	-1.191650	-5.116690	35.358634	106.104442
07312		-5.813756	-0.753381	8.119545	-0.004186	0.004369	0.005209	-0.593262	0.176025	-1.180664	-5.116702	35.361419	106.105084
07313		-5.759701	-0.748610	8.143939	-0.004335	0.000829	0.004820	-0.594971	0.178467	-1.182373	-5.116893	35.361869	106.098955
07314		-5.772393	-0.749234	8.122682	-0.005229	0.005779	0.003912	-0.591309	0.185547	-1.185303	-5.118079	35.365391	106.098601
07315		-5.772714	-0.749389	8.122440	-0.003437	0.001498	0.002894	-0.590820	0.189941	-1.188477	-5.118631	35.366235	106.097331
07316		-5.802514	-0.753249	8.139723	-0.003740	0.004386	0.006844	-0.591797	0.181396	-1.180664	-5.117726	35.369112	106.099115
07317		-5.786131	-0.768538	8.130143	-0.003286	0.000054	0.000919	-0.591797	0.187012	-1.189453	-5.119061	35.369155	106.101216
07318		-5.772829	-0.731037	8.092862	-0.005530	0.003682	0.005498	-0.592041	0.188232	-1.181885	-5.119701	35.371562	106.102103
07319		-5.785984	-0.750215	8.100748	-0.004336	0.000828	0.004820	-0.596680	0.191162	-1.181885	-5.120144	35.372241	106.107092
07320		-5.773726	-0.749764	8.121685	-0.002991	0.001515	0.004530	-0.599854	0.186035	-1.179199	-5.119644	35.373362	106.107437
07321		-5.760979	-0.730730	8.113497	-0.004933	0.002255	0.005159	-0.591064	0.187500	-1.185059	-5.120450	35.374368	106.111183
07322		-5.773971	-0.750079	8.121482	-0.009713	-0.001918	0.005978	-0.592529	0.188477	-1.195068	-5.123090	35.373603	106.112758
07323		-5.761075	-0.731407	8.113368	-0.005825	0.002221	0.001887	-0.598633	0.180176	-1.182129	-5.125579	35.375062	106.112887
07324		-5.807253	-0.720448	8.140191	-0.008815	-0.001249	0.004052	-0.596924	0.190674	-1.177734	-5.128509	35.374580	106.113072
07325		-5.774049	-0.751533	8.121292	-0.010304	0.000144	0.001120	-0.594971	0.191406	-1.187500	-5.133823	35.374192	106.111775
07326		-5.778271	-0.736612	8.151672	-0.010304	0.000144	0.001119	-0.595459	0.180908	-1.193848	-5.138845	35.374353	106.109820
07327		-5.761684	-0.752423	8.142185	-0.007471	-0.000563	0.003762	-0.593750	0.187012	-1.187500	-5.141340	35.374151	106.106561
07328		-5.790746	-0.738208	8.130474	-0.009557	0.002257	0.001169	-0.600830	0.183350	-1.187744	-5.145991	35.375521	106.104508
07329		-5.787273	-0.773031	8.128904	-0.006723	0.001550	0.003812	-0.593018	0.184814	-1.189453	-5.148110	35.376326	106.100293
07330		-5.790994	-0.739018	8.130224	-0.007025	-0.000547	0.005397	-0.595459	0.189209	-1.187012	-5.149496	35.376313	106.101376
07331		-5.744908	-0.750583	8.103275	-0.001942	0.000740	0.000629	-0.589600	0.183594	-1.188232	-5.150182	35.376687	106.098599
07332		-5.803500	-0.739866	8.109069	-0.007622	0.000880	0.005736	-0.591309	0.182617	-1.184814	-5.151825	35.377505	106.099829
07333		-5.787540	-0.774075	8.128614	-0.006572	0.000107	0.001836	-0.596191	0.185547	-1.184570	-5.154515	35.377740	106.098430
07334		-5.791145	-0.740184	8.130010	-0.005975	-0.001320	0.001496	-0.594238	0.190186	-1.185547	-5.156851	35.377085	106.096830
07335		-5.740828	-0.767535	8.072597	-0.004782	0.000810	0.003182	-0.593018	0.186523	-1.186768	-5.158194	35.377490	106.097771
07336		-5.782990	-0.724488	8.181457	-0.003739	-0.000601	0.004478	-0.592041	0.195801	-1.187500	-5.158068	35.377399	106.098214
07337		-5.804229	-0.759589	8.137911	-0.001201	0.002215	0.005876	-0.595459	0.185059	-1.186768	-5.156403	35.378957	106.104787
07338		-5.762985	-0.773935	8.170457	-0.007026	-0.000548	0.005396	-0.594727	0.177734	-1.182861	-5.157789	35.378943	106.105869
07339		-5.787174	-0.756129	8.099347	0.002833	-0.000708	0.002643	-0.587646	0.178223	-1.181152	-5.154695	35.378449	106.100783
07340		-5.791881	-0.758794	8.158951	-0.001352	-0.001325	0.005485	-0.587158	0.185547	-1.181885	-5.152766	35.377995	106.101976
07341		-5.758209	-0.770270	8.110997	0.001186	0.001491	0.006882	-0.591797	0.180176	-1.196533	-5.149008	35.379314	106.107487
07342		-5.762550	-0.754150	8.141412	-0.000158	0.000804	0.007171	-0.597656	0.184326	-1.195068	-5.145789	35.380163	106.109726
07343		-5.778622	-0.719870	8.121789	0.000438	-0.000623	0.006831	-0.589355	0.179932	-1.182617	-5.142310	35.380246	106.103235
07344		-5.791634	-0.738527	8.129813	-0.000158	0.000804	0.007171	-0.592773	0.184082	-1.187744	-5.139091	35.381094	106.105473
07345		-5.749688	-0.733865	8.133430	-0.000310	-0.002736	0.006780	-0.591553	0.186035	-1.186768	-5.136068	35.379882	106.107020
07346		-5.774931	-0.753110	8.120519	-0.000453	-0.000655	0.003560	-0.594238	0.185059	-1.187500	-5.134428	35.379713	106.106823
07347		-5.779099	-0.737374	8.151017	-0.003740	-0.000601	0.004478	-0.590576	0.187256	-1.187256	-5.134495	35.379557	106.107468
07348		-5.774884	-0.752836	8.120578	-0.000461	-0.001294	0.008755	-0.586182	0.180176	-1.184570	-5.130732	35.379289	106.110948
07349		-5.762516	-0.752162	8.141620	-0.001496	0.000756	0.002264	-0.594238	0.184082	-1.186768	-5.130392	35.380006	106.112169
07350		-5.779206	-0.736911	8.150982	-0.002991	0.001513	0.004528	-0.588867	0.187256	-1.187500	-5.129893	35.381123	106.112514
07351		-5.786878	-0.734440	8.070374	-0.005085	-0.001287	0.004766	-0.594727	0.181885	-1.186035	-5.130591	35.380657	106.114461
07352		-5.791600	-0.737603	8.129921	-0.007026	-0.000546	0.005395	-0.592529	0.182861	-1.194092	-5.131978	35.380643	106.115541
07353		-5.817164	-0.757269	8.116742	-0.003284	0.005037	0.003284	-0.594971	0.190918	-1.189697	-5.132336	35.383671	106.110230
07354		-5.762323	-0.734172	8.112232	-0.008524	-0.004772	0.005292	-0.590332	0.184082	-1.184814	-5.134468	35.381241	106.111504
07355		-5.771501	-0.787766	8.118935	-0.003740	-0.000601	0.004477	-0.598389	0.183838	-1.194824	-5.134600	35.381096	106.113994
07356		-5.804057	-0.738901	8.108758	-0.010312	-0.000492	0.006311	-0.592285	0.187988	-1.189453	-5.137501	35.381160	106.115713
07357		-5.775005	-0.754072	8.120377	-0.004935	-0.002729	0.002790	-0.593994	0.182617	-1.192871	-5.138827	35.379699	106.111537
07358		-5.800244	-0.773942	8.107408	-0.007918	-0.000577	0.002123	-0.588867	0.179199	-1.189209	-5.142050	35.379500	106.110329
07359		-5.791379	-0.739588	8.129898	-0.006430	-0.001974	0.005053	-0.587891	0.177246	-1.193604	-5.143165	35.378765	106.106165
07360		-5.804257	-0.758776	8.137966	-0.004639	-0.001273	0.006400	-0.595215	0.191406	-1.187256	-5.142751	35.378388	106.107995
07361		-5.778330	-0.720809	8.121913	-0.005227	0.000795	0.001546	-0.591309	0.182861	-1.191406	-5.144824	35.379034	106.104443
07362		-5.804265	-0.759248	8.137917	-0.005531	-0.001303	0.003129	-0.589111	0.180420	-1.184814	-5.146245	35.378473	106.103985
07363		-5.761911	-0.736570	8.112307	-0.004629	0.004350	0.003573	-0.598145	0.187012	-1.177246	-5.147207	35.381257	106.101465
07364		-5.775236	-0.755682	8.120063	-0.002242	0.003624	0.004580	-0.584473	0.189697	-1.189209	-5.146335	35.383582	106.101712
07365		-5.792095	-0.740298	8.129323	-0.000301	0.002883	0.003951	-0.595947	0.187744	-1.188477	-5.144895	35.385360	106.107411
07366		-5.775776	-0.755316	8.119713	-0.001200	0.002212	0.005875	-0.593262	0.183594	-1.182861	-5.142850	35.386946	106.108654
07367		-5.792118	-0.721155	8.099886	-0.001047	0.005751	0.006267	-0.594971	0.188721	-1.178467	-5.140895	35.390358	106.109741
07368		-5.805513	-0.740041	8.107611	-0.002242	0.003624	0.004579	-0.592041	0.176514	-1.186768	-5.140023	35.392683	106.109988
07369		-5.747925	-0.769506	8.130576	0.000145	0.002898	0.005586	-0.598145	0.178955	-1.183594	-5.137476	35.394404	106.110239
07370		-5.793146	-0.720318	8.099225	0.001936	0.003598	0.006933	-0.594238	0.186279	-1.179199	-5.133255	35.396834	106.112136
07371		-5.776854	-0.735079	8.089623	-0.001655	0.001555	0.009432	-0.594482	0.190430	-1.186768	-5.130151	35.397806	106.114119
07372		-5.790816	-0.772583	8.126423	-0.003433	0.006478	0.005259	-0.591797	0.188965	-1.186279	-5.129790	35.401793	106.114663
07373		-5.797705	-0.685088	8.100050	-0.000159	0.000799	0.007169	-0.588623	0.186279	-1.190674	-5.126913	35.402528	106.120812
07374		-5.779002	-0.771898	8.147084	-0.005974	0.003665	0.003859	-0.596436	0.185303	-1.180664	-5.128473	35.404838	106.120554
07375		-5.782184	-0.719094	8.119322	-0.004337	0.000825	0.004814	-0.595947	0.186035	-1.189209	-5.128810	35.405469	106.122274
07376		-5.808319	-0.757305	8.135205	-0.004933	0.002252	0.005154	-0.589844	0.185059	-1.184570	-5.129197	35.407039	106.123011
07377		-5.782419	-0.719302	8.119136	-0.005087	-0.001287	0.004762	-0.581055	0.188477	-1.187500	-5.129888	35.406471	106.123792
07378		-5.778923	-0.753627	8.117631	-0.001646	0.002196	0.004238	-0.591064	0.179443	-1.181396	-5.128761	35.407963	106.123891
07379		-5.766561	-0.753167	8.138663	-0.004046	-0.002700	0.006057	-0.591797	0.186279	-1.187256	-5.128223	35.406957	106.128934
07380		-5.807899	-0.738741	8.106021	-0.004932	0.002252	0.005154	-0.584961	0.190430	-1.190918	-5.128609	35.408527	106.129671
07381		-5.783142	-0.738195	8.148075	-0.005382	-0.002743	0.001151	-0.591064	0.183105	-1.181641	-5.130945	35.407243	106.131858
07382		-5.799717	-0.723374	8.157478	-0.007764	0.002965	0.002512	-0.583496	0.180664	-1.188232	-5.134052	35.409086	106.130700
07383		-5.783365	-0.739098	8.147834	-0.007169	0.001538	0.002171	-0.593018	0.183594	-1.184082	-5.136955	35.410231	106.129207
07384		-5.811883	-0.706030	8.107036	-0.007764	0.002965	0.002511	-0.595215	0.183594	-1.187744	-5.140062	35.412073	106.128049
07385		-5.767187	-0.755341	8.138017	-0.008515	0.000852	0.002458	-0.590820	0.176270	-1.185303	-5.143664	35.412496	106.124954
07386		-5.796788	-0.759816	8.155370	-0.010306	0.000153	0.001111	-0.588135	0.186768	-1.183838	-5.148693	35.412661	106.122991
07387		-5.766798	-0.738011	8.108702	-0.009706	0.003705	0.003139	-0.597168	0.187256	-1.187256	-5.152729	35.414958	106.120755
07388		-5.792298	-0.757994	8.095509	-0.008820	-0.001247	0.004040	-0.589111	0.184082	-1.192139	-5.155667	35.414475	106.120932
07389		-5.812918	-0.727543	8.135516	-0.006879	-0.001988	0.003412	-0.591064	0.179199	-1.193115	-5.157875	35.413478	106.119400
07390		-5.783938	-0.742921	8.147080	-0.009861	0.000166	0.002745	-0.590332	0.184082	-1.187500	-5.161986	35.413734	106.118580
07391		-5.779715	-0.759215	8.116546	-0.010611	-0.001947	0.002691	-0.591309	0.184082	-1.193359	-5.166468	35.412867	106.113689
07392		-5.791910	-0.760314	8.095569	-0.012857	-0.003305	0.004900	-0.590332	0.195801	-1.186035	-5.171295	35.411254	106.114598
07393		-5.808208	-0.745849	8.105148	-0.010461	-0.003387	0.000715	-0.590332	0.186768	-1.184082	-5.176732	35.409454	106.115953
07394		-5.766079	-0.742424	8.108811	-0.010611	-0.001947	0.002690	-0.597656	0.184570	-1.187256	-5.181218	35.408502	106.115229
07395		-5.791208	-0.762631	8.095854	-0.012708	-0.004746	0.002923	-0.592773	0.194580	-1.171387	-5.186880	35.405759	106.114277
07396		-5.770205	-0.747185	8.168654	-0.011212	-0.005500	0.000659	-0.590820	0.184326	-1.179443	-5.192403	35.402674	106.112358
07397		-5.760830	-0.760477	8.078838	-0.010767	-0.005487	0.002294	-0.588135	0.192871	-1.189209	-5.197383	35.399339	106.119003
07398		-5.794133	-0.749399	8.127036	-0.009421	-0.004802	0.002007	-0.592773	0.180908	-1.183838	-5.201359	35.396722	106.117984
07399		-5.789541	-0.765625	8.096763	-0.008826	-0.006228	0.001665	-0.590576	0.178223	-1.187012	-5.205258	35.393309	106.118123
07400		-5.773203	-0.800176	8.116511	-0.008075	-0.004116	0.001720	-0.593750	0.189697	-1.185303	-5.208605	35.391068	106.116860
07401		-5.768293	-0.750327	8.169716	-0.006433	-0.001979	0.005045	-0.587646	0.184082	-1.181641	-5.209822	35.390156	106.115817
07402		-5.788563	-0.766925	8.097340	-0.004044	-0.007036	-0.001513	-0.589111	0.186035	-1.182373	-5.212061	35.386080	106.112478
07403		-5.759256	-0.782021	8.109130	-0.004046	-0.002707	0.006051	-0.589355	0.180176	-1.192139	-5.211535	35.384907	106.115722
07404		-5.805148	-0.770716	8.136209	-0.004938	-0.002732	0.002781	-0.591797	0.194092	-1.189697	-5.212704	35.383511	106.115113
07405		-5.796195	-0.736143	8.158839	-0.003296	-0.000595	0.006106	-0.596680	0.186035	-1.182861	-5.211814	35.383669	106.116815
07406		-5.776057	-0.785597	8.147863	-0.002701	-0.002021	0.005764	-0.596924	0.185547	-1.186279	-5.210518	35.382834	106.118249
07407		-5.774790	-0.748121	8.089901	-0.002841	0.000067	0.002550	-0.602295	0.186279	-1.184326	-5.210852	35.382678	106.115951
07408		-5.779630	-0.751370	8.149362	-0.003436	0.001494	0.002891	-0.593506	0.186523	-1.187500	-5.211273	35.383699	106.115149
07409		-5.779076	-0.732610	8.120326	-0.000455	-0.000662	0.003556	-0.594971	0.177490	-1.181396	-5.209818	35.383165	106.113455
07410		-5.776366	-0.785543	8.147649	-0.002834	0.005045	0.004923	-0.589111	0.190430	-1.185791	-5.209201	35.386317	106.113849
07411		-5.796768	-0.736012	8.158443	-0.004931	0.002246	0.005154	-0.591553	0.187988	-1.185791	-5.209690	35.387777	106.113477
07412		-5.763239	-0.747749	8.110341	-0.001050	0.000765	0.003898	-0.588623	0.183350	-1.178223	-5.208308	35.388434	106.113427
07413		-5.793614	-0.770128	8.156658	-0.001793	0.003630	0.006216	-0.588623	0.187012	-1.189453	-5.206685	35.390800	106.116356
07414		-5.776765	-0.766430	8.117968	-0.000298	0.002877	0.003953	-0.593750	0.184570	-1.187500	-5.204928	35.392665	106.116209
07415		-5.764674	-0.765958	8.138806	-0.002239	0.003618	0.004581	-0.587646	0.182373	-1.188965	-5.204183	35.395044	106.115922
07416		-5.763723	-0.728515	8.080606	-0.004031	0.002920	0.003232	-0.591309	0.186035	-1.191650	-5.204859	35.396896	106.115269
07417		-5.777744	-0.766247	8.117288	-0.001042	0.005742	0.006271	-0.591797	0.188965	-1.183594	-5.202749	35.400701	106.114675
07418		-5.782161	-0.750575	8.147640	-0.002842	0.000067	0.002549	-0.594482	0.190186	-1.181641	-5.202915	35.400890	106.113724
07419		-5.807029	-0.751192	8.105500	-0.002545	0.001517	0.006160	-0.589600	0.185303	-1.186279	-5.201812	35.401883	106.119082
07420		-5.752882	-0.746581	8.130014	-0.002545	0.001517	0.006160	-0.580322	0.191162	-1.188232	-5.200397	35.403086	106.120568
07421		-5.807367	-0.750889	8.105286	-0.002545	0.001517	0.006160	-0.582764	0.182129	-1.182617	-5.199186	35.404631	106.125725
07422		-5.765513	-0.746705	8.108821	-0.003743	-0.000607	0.004469	-0.591797	0.189453	-1.182129	-5.199065	35.404535	106.126163
07423		-5.782599	-0.750226	8.147361	-0.003148	-0.002034	0.004128	-0.588867	0.181152	-1.194092	-5.198850	35.403684	106.128051
07424		-5.790800	-0.766035	8.095824	-0.001951	0.000090	0.005818	-0.591309	0.186035	-1.193848	-5.197181	35.404056	106.129388
07425		-5.794359	-0.731543	8.097351	-0.001951	0.000090	0.005818	-0.594971	0.185547	-1.185059	-5.195521	35.404650	106.127351
07426		-5.794898	-0.750298	8.126408	-0.005841	-0.003405	0.004699	-0.586426	0.180908	-1.188477	-5.196406	35.402970	106.128127
07427		-5.782172	-0.750176	8.147668	-0.003751	-0.005584	0.002095	-0.589355	0.191650	-1.184082	-5.197121	35.399910	106.124856
07428		-5.764616	-0.746519	8.109475	0.002219	-0.004921	0.005799	-0.588867	0.186035	-1.194580	-5.192886	35.397422	106.126498
07429		-5.790429	-0.784257	8.125580	-0.002257	-0.002011	0.007396	-0.590088	0.187744	-1.177734	-5.190898	35.396841	106.131682
07430		-5.793089	-0.730943	8.098314	-0.000168	-0.004191	0.004792	-0.592041	0.184570	-1.187012	-5.188466	35.394718	106.132573
07431		-5.764600	-0.764446	8.139000	-0.002703	-0.002023	0.005762	-0.601318	0.191406	-1.193848	-5.187359	35.393758	106.135170
07432		-5.793303	-0.749245	8.127642	0.000278	-0.004180	0.006426	-0.598145	0.186279	-1.199707	-5.184010	35.391725	106.137204
07433		-5.805376	-0.749206	8.106867	-0.001069	-0.004865	0.006712	-0.591309	0.183350	-1.187012	-5.181490	35.389116	106.138438
07434		-5.750150	-0.725778	8.102699	-0.000762	-0.002764	0.005134	-0.600586	0.190918	-1.182373	-5.179313	35.387824	106.139477
07435		-5.789105	-0.782722	8.126672	-0.001356	-0.001337	0.005475	-0.592529	0.180908	-1.182373	-5.177605	35.387059	106.141234
07436		-5.753930	-0.709632	8.133533	0.002218	-0.004922	0.005798	-0.599121	0.183350	-1.182129	-5.173372	35.384569	106.142874
07437		-5.779727	-0.747406	8.149658	-0.003603	-0.002697	0.007682	-0.593018	0.178223	-1.186035	-5.171855	35.383086	106.142361
07438		-5.792013	-0.747466	8.128725	-0.000910	-0.001327	0.007109	-0.593750	0.186768	-1.190186	-5.169015	35.382716	106.144691
07439		-5.788420	-0.781430	8.127284	-0.000317	-0.002754	0.006767	-0.587158	0.185303	-1.185303	-5.165949	35.381443	106.143322
07440		-5.758124	-0.758440	8.080959	0.002377	-0.001383	0.006195	-0.583252	0.187988	-1.187012	-5.161595	35.380992	106.145016
07441		-5.791028	-0.727384	8.100109	0.000129	-0.002743	0.008401	-0.587646	0.185303	-1.185303	-5.157749	35.380194	106.151112
07442		-5.774947	-0.761038	8.119769	0.000732	-0.003517	0.002870	-0.590332	0.179932	-1.190918	-5.155606	35.378355	106.150613
07443		-5.778810	-0.745219	8.150508	-0.001663	-0.003439	0.007053	-0.592529	0.195313	-1.186768	-5.153172	35.376929	106.150782
