// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
62058		9.554794	-0.435443	-0.150174	0.041636	-0.073565	0.011901	-0.418701	-0.118896	0.649170	-154.240234	-87.168108	-41.249440
62059		9.593454	-0.397960	-0.156851	0.043810	-0.074668	0.005707	-0.415283	-0.119385	0.645508	-154.524880	-87.126044	-40.933497
62060		9.675258	-0.450284	-0.191121	0.036097	-0.073458	0.006373	-0.417725	-0.118164	0.643311	-154.703826	-87.088404	-40.727080
62061		9.687992	-0.432983	-0.171344	0.027649	-0.069409	0.005115	-0.414795	-0.121826	0.637207	-154.963776	-87.049089	-40.445117
62062		9.707385	-0.469096	-0.096255	0.024869	-0.072907	0.006597	-0.413574	-0.126221	0.640625	-155.133312	-87.011734	-40.255077
62063		9.652684	-0.445679	-0.138572	0.021092	-0.086537	0.009159	-0.412354	-0.120361	0.646729	-155.421568	-86.962425	-39.948508
62064		9.648697	-0.458266	-0.115157	0.016910	-0.098595	0.009009	-0.411133	-0.122803	0.645508	-155.676201	-86.910914	-39.678324
62065		9.643253	-0.438475	-0.136422	0.011010	-0.104323	0.012764	-0.408936	-0.118896	0.653809	-155.992972	-86.851307	-39.348954
62066		9.615707	-0.427596	-0.163877	0.010104	-0.107970	0.012325	-0.414795	-0.122803	0.646240	-156.240697	-86.793827	-39.089052
62067		9.637543	-0.420012	-0.168276	0.012492	-0.103207	0.011595	-0.408447	-0.114502	0.653809	-156.540806	-86.734904	-38.775482
62068		9.637318	-0.421172	-0.177993	0.013333	-0.099560	0.012005	-0.402588	-0.123047	0.645752	-156.736799	-86.681881	-38.565236
62069		9.668139	-0.422504	-0.202823	0.012502	-0.103381	0.005941	-0.404541	-0.115723	0.653809	-157.069052	-86.623980	-38.219426
62070		9.693602	-0.402651	-0.239645	0.008088	-0.107687	0.005078	-0.409912	-0.116455	0.657471	-157.346278	-86.567892	-37.931019
62071		9.690824	-0.462646	-0.253249	0.005363	-0.104394	0.001573	-0.410889	-0.123291	0.663574	-157.702738	-86.510196	-37.565015
62072		9.717993	-0.474913	-0.246099	0.002706	-0.101406	0.001560	-0.408691	-0.120361	0.643066	-157.970572	-86.458125	-37.288849
62073		9.721244	-0.463663	-0.288144	0.007664	-0.099456	0.006450	-0.400879	-0.124512	0.651123	-158.246608	-86.401790	-37.002062
62074		9.707703	-0.482164	-0.323276	0.012313	-0.082182	0.004282	-0.406250	-0.125000	0.652588	-158.407870	-86.359325	-36.828108
62075		9.707434	-0.482809	-0.330316	0.018667	-0.064403	0.007950	-0.403076	-0.113770	0.652100	-158.537244	-86.321245	-36.681937
