// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
06140		-5.408489	-1.158809	8.112885	-0.003387	0.004907	-0.003618	-0.448242	-0.181152	-0.556152	-7.841363	33.353626	47.942889
06141		-5.430511	-1.141900	8.133093	-0.000216	0.003195	-0.006934	-0.445313	-0.176758	-0.552979	-7.841400	33.353330	47.942534
06142		-5.418899	-1.126294	8.161141	-0.000056	0.004175	-0.004484	-0.442139	-0.181152	-0.546631	-7.840129	33.353320	47.943178
06143		-5.453847	-1.159753	8.152013	-0.002288	0.001376	-0.006090	-0.442139	-0.176758	-0.555664	-7.840931	33.352033	47.942356
06144		-5.436573	-1.143696	8.156350	-0.001527	0.003168	-0.005894	-0.442627	-0.173584	-0.554443	-7.840977	33.351341	47.942137
06145		-5.430023	-1.109005	8.133574	-0.002128	0.002356	-0.003640	-0.447510	-0.177734	-0.551025	-7.840837	33.350838	47.944071
06146		-5.419759	-1.127913	8.160347	-0.001866	0.008489	-0.003225	-0.446533	-0.175537	-0.545654	-7.840354	33.353375	47.945167
06147		-5.387930	-1.164205	8.166537	-0.002026	0.007509	-0.005675	-0.439209	-0.173584	-0.545410	-7.841162	33.355573	47.944896
06148		-5.439593	-1.179706	8.153738	-0.001106	0.010280	-0.003029	-0.451416	-0.174561	-0.545898	-7.840262	33.359142	47.945958
06149		-5.436842	-1.076598	8.156680	-0.002576	0.009273	-0.004438	-0.447754	-0.183594	-0.539063	-7.841018	33.362429	47.946772
06150		-5.434371	-1.145285	8.130038	0.000204	0.010306	-0.004068	-0.443604	-0.178223	-0.544434	-7.839757	33.365932	47.947126
06151		-5.452432	-1.162217	8.125036	-0.004648	0.007454	-0.003595	-0.444824	-0.175537	-0.550049	-7.841271	33.368223	47.946529
06152		-5.457555	-1.128638	8.149438	0.001673	0.011312	-0.002657	-0.446045	-0.183350	-0.558350	-7.838693	33.372407	47.947747
06153		-5.458126	-1.128952	8.149012	-0.003547	0.003924	-0.006067	-0.452881	-0.168213	-0.547119	-7.840341	33.372574	47.946851
06154		-5.431189	-1.146255	8.104458	-0.004649	0.007452	-0.003595	-0.439941	-0.179932	-0.551025	-7.841537	33.374494	47.947794
06155		-5.459013	-1.130086	8.148261	-0.001476	0.005742	-0.006910	-0.447754	-0.179199	-0.544189	-7.842404	33.375598	47.947586
06156		-5.459383	-1.130547	8.147949	-0.002078	0.004930	-0.004657	-0.445068	-0.177002	-0.546387	-7.842394	33.376003	47.948042
06157		-5.426105	-1.132275	8.155524	-0.000057	0.004172	-0.004483	-0.439941	-0.180908	-0.546631	-7.841447	33.376381	47.948223
06158		-5.438305	-1.148501	8.126954	-0.001318	0.006721	-0.004460	-0.447266	-0.181152	-0.545410	-7.841020	33.377819	47.948646
06159		-5.456051	-1.165535	8.122131	-0.003547	0.003922	-0.006067	-0.443359	-0.177734	-0.555420	-7.842652	33.377947	47.946767
06160		-5.450092	-1.150689	8.173912	-0.001369	0.004145	-0.003443	-0.453857	-0.173828	-0.560547	-7.841741	33.378001	47.948122
06161		-5.432399	-1.114740	8.103630	-0.002286	0.001373	-0.006090	-0.444580	-0.183594	-0.550781	-7.842550	33.376725	47.948859
06162		-5.444891	-1.150970	8.149776	-0.003390	0.004901	-0.003617	-0.450928	-0.175049	-0.543213	-7.842901	33.377195	47.950025
06163		-5.427844	-1.135001	8.153987	-0.002946	0.004733	-0.008319	-0.440918	-0.174072	-0.557861	-7.845073	33.377591	47.947422
06164		-5.456112	-1.133587	8.122135	-0.002838	0.003137	-0.004853	-0.448975	-0.178467	-0.556396	-7.845480	33.376963	47.947914
