// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
49352		-4.317862	-0.283877	8.996424	-0.005123	-0.003236	0.002768	-1.000977	0.291992	-0.595215	-1.307502	25.538119	-59.435255
49353		-4.313752	-0.251415	8.952978	-0.003225	-0.000380	0.002148	-0.991455	0.287354	-0.595947	-1.307718	25.538628	-59.435276
49354		-4.331433	-0.246555	8.968962	-0.005752	-0.000962	0.002710	-0.995117	0.285156	-0.598389	-1.308357	25.538090	-59.433957
49355		-4.309164	-0.251391	8.995068	-0.005752	-0.000962	0.002711	-0.994873	0.289063	-0.599365	-1.309790	25.538421	-59.433987
49356		-4.346505	-0.261897	8.956742	-0.006354	-0.002491	0.002227	-0.992188	0.281494	-0.595459	-1.310897	25.537001	-59.432953
49357		-4.308983	-0.252198	8.995132	-0.003157	0.001691	0.000505	-0.997803	0.288574	-0.595703	-1.311446	25.538817	-59.435143
49358		-4.335577	-0.248673	8.927029	-0.001899	-0.002856	0.000619	-1.001709	0.289063	-0.595703	-1.310438	25.537167	-59.435123
49359		-4.315708	-0.233861	8.981426	-0.007515	0.000325	0.000042	-0.992432	0.285400	-0.595703	-1.313693	25.537999	-59.437106
49360		-4.324014	-0.267893	8.982918	-0.005657	-0.002693	0.000641	-0.990967	0.286377	-0.592529	-1.314834	25.536442	-59.437076
49361		-4.326216	-0.248713	9.011294	-0.006354	-0.002491	0.002227	-0.989502	0.285645	-0.598389	-1.316736	25.535867	-59.437184
49362		-4.330413	-0.249829	8.969364	-0.004427	-0.003438	0.001182	-0.998047	0.288086	-0.597900	-1.317019	25.533892	-59.436799
49363		-4.312558	-0.255316	8.953443	-0.005151	0.000568	0.003195	-0.999268	0.286133	-0.593750	-1.317988	25.535089	-59.436099
49364		-4.301268	-0.273893	9.009211	-0.005151	0.000568	0.003195	-1.001221	0.284424	-0.593262	-1.318160	25.535434	-59.434495
49365		-4.312494	-0.255974	8.953455	-0.004427	-0.003437	0.001182	-0.992432	0.292236	-0.586182	-1.319260	25.534070	-59.438499
49366		-4.323396	-0.270101	8.983149	-0.005875	0.004573	0.005209	-1.000732	0.289307	-0.599121	-1.319321	25.536736	-59.435675
49367		-4.337241	-0.232511	8.955589	-0.005124	-0.003235	0.002768	-1.004639	0.285400	-0.590820	-1.320473	25.535574	-59.433546
49368		-4.308039	-0.256261	8.995469	-0.004455	0.000366	0.001609	-1.003662	0.289551	-0.597168	-1.320679	25.535783	-59.432946
49369		-4.347940	-0.247015	8.985370	-0.005753	-0.000961	0.002712	-1.002197	0.283447	-0.594727	-1.322178	25.535764	-59.435851
49370		-4.323142	-0.271493	8.983229	-0.005124	-0.003235	0.002769	-0.998291	0.284668	-0.596680	-1.322428	25.533926	-59.434462
49371		-4.325421	-0.252116	9.011581	-0.003921	-0.000177	0.003737	-1.000000	0.282959	-0.598877	-1.322522	25.534503	-59.437745
49372		-4.307605	-0.257497	8.995642	-0.003826	-0.001908	0.001666	-1.004395	0.286377	-0.597168	-1.322338	25.533410	-59.437076
49373		-4.322789	-0.272326	8.983374	-0.005753	-0.000960	0.002712	-1.002197	0.292236	-0.600342	-1.323760	25.533511	-59.441429
49374		-4.314173	-0.239246	8.982022	-0.004428	-0.003436	0.001182	-0.996582	0.289307	-0.595459	-1.324043	25.531536	-59.441045
49375		-4.314024	-0.239683	8.982081	-0.007679	-0.000013	0.003760	-0.991699	0.288818	-0.598389	-1.326379	25.532244	-59.439353
49376		-4.347084	-0.249453	8.985717	-0.004455	0.000366	0.001610	-0.996582	0.286377	-0.606445	-1.326584	25.532453	-59.438753
49377		-4.322440	-0.273933	8.983493	-0.005056	-0.001162	0.001126	-0.997803	0.292236	-0.594482	-1.328027	25.532671	-59.438440
49378		-4.322317	-0.274269	8.983542	-0.004523	-0.001705	0.003253	-0.994385	0.289307	-0.601318	-1.327809	25.531715	-59.436766
49379		-4.306884	-0.260118	8.995911	-0.005056	-0.001162	0.001126	-1.002686	0.285645	-0.591064	-1.329341	25.531801	-59.435147
49380		-4.324615	-0.255236	9.011880	-0.002623	0.001150	0.002634	-0.997070	0.284668	-0.590332	-1.328222	25.532472	-59.433908
49381		-4.329119	-0.256155	8.969810	-0.007146	-0.000555	0.005888	-0.998779	0.286133	-0.595215	-1.329614	25.532768	-59.435075
49382		-4.331298	-0.236758	8.998218	-0.001968	-0.004926	0.002262	-1.003418	0.288086	-0.595703	-1.328183	25.529954	-59.433983
49383		-4.328684	-0.256591	8.970008	-0.004455	0.000367	0.001610	-0.995117	0.293701	-0.598389	-1.329216	25.530766	-59.437043
49384		-4.313398	-0.242367	8.982310	-0.004618	0.000026	0.005325	-0.996826	0.289063	-0.604980	-1.328496	25.530829	-59.434080
49385		-4.346430	-0.251892	8.985965	-0.003225	-0.000378	0.002151	-0.996094	0.291992	-0.604248	-1.328680	25.531430	-59.431296
49386		-4.328644	-0.257167	8.970011	-0.001995	-0.001124	0.002691	-0.998779	0.283203	-0.596924	-1.327172	25.530800	-59.429988
49387		-4.306410	-0.261860	8.996088	-0.003758	0.000165	0.000023	-0.996582	0.287109	-0.592041	-1.328197	25.531637	-59.431972
49388		-4.328666	-0.257595	8.969987	-0.002623	0.001150	0.002635	-0.998291	0.289795	-0.593018	-1.327078	25.532308	-59.430733
49389		-4.321551	-0.276877	8.983831	-0.005632	-0.006492	0.000213	-0.998047	0.286377	-0.596924	-1.329145	25.529200	-59.431831
49390		-4.330465	-0.238590	8.998571	-0.004686	-0.002046	0.006969	-0.989746	0.292725	-0.601074	-1.328002	25.528098	-59.427794
49391		-4.317148	-0.244605	8.940570	-0.004455	0.000367	0.001611	-0.992432	0.292725	-0.597656	-1.329020	25.529120	-59.425607
49392		-4.323430	-0.258195	9.012365	-0.006355	-0.002487	0.002230	-0.995850	0.287598	-0.595215	-1.330126	25.527702	-59.424571
49393		-4.345547	-0.254092	8.986331	-0.005151	0.000570	0.003199	-0.996582	0.286133	-0.596924	-1.331133	25.528808	-59.421187
49394		-4.281006	-0.288227	8.994155	-0.005057	-0.001161	0.001127	-1.000000	0.295654	-0.596924	-1.331806	25.528136	-59.420872
49395		-4.327851	-0.259927	8.970314	-0.004549	0.002098	0.003684	-1.001709	0.286865	-0.589355	-1.332369	25.530026	-59.418535
49396		-4.305671	-0.264696	8.996358	-0.003827	-0.001906	0.001667	-0.999023	0.288330	-0.595459	-1.332185	25.528934	-59.417865
49397		-4.296992	-0.231557	8.995061	-0.004429	-0.003434	0.001182	-0.998779	0.286865	-0.589111	-1.333306	25.527505	-59.420583
49398		-4.345299	-0.255651	8.986406	-0.004549	0.002098	0.003684	-0.997803	0.291992	-0.599609	-1.333009	25.528734	-59.418692
49399		-4.312375	-0.246614	8.982686	-0.004455	0.000368	0.001612	-1.001953	0.278320	-0.600586	-1.334059	25.529564	-59.418830
49400		-4.330065	-0.241841	8.998677	-0.005057	-0.001160	0.001127	-0.993896	0.295166	-0.593994	-1.334732	25.528892	-59.418514
49401		-4.322996	-0.261198	9.012486	-0.005126	-0.003232	0.002770	-0.994141	0.283691	-0.599365	-1.335763	25.527732	-59.419713
49402		-4.309525	-0.267268	8.954554	-0.003827	-0.001906	0.001667	-0.990967	0.292969	-0.597412	-1.335579	25.526640	-59.419044
49403		-4.320306	-0.281412	8.984288	-0.004455	0.000368	0.001612	-0.997070	0.287842	-0.600586	-1.336564	25.527663	-59.417354
49404		-4.300950	-0.234419	8.953207	-0.003827	-0.001906	0.001667	-0.994873	0.294434	-0.590576	-1.336380	25.526571	-59.416685
49405		-4.344737	-0.257917	8.986613	-0.007146	-0.000553	0.005891	-0.998535	0.289795	-0.590820	-1.337801	25.526988	-59.411740
49406		-4.322526	-0.262977	9.012660	-0.006820	0.000131	-0.001539	-1.000488	0.283691	-0.597168	-1.340222	25.527021	-59.413135
49407		-4.326935	-0.264061	8.970635	-0.004524	-0.001704	0.003255	-0.991455	0.294189	-0.600586	-1.340805	25.526642	-59.414941
49408		-4.316000	-0.250611	8.940958	-0.006287	-0.000413	0.000589	-1.000732	0.290283	-0.586670	-1.342335	25.526391	-59.414978
49409		-4.315392	-0.283252	9.026465	-0.003827	-0.001905	0.001667	-0.999023	0.291748	-0.600586	-1.343025	25.525939	-59.411964
49410		-4.286705	-0.274872	8.980815	-0.005753	-0.000957	0.002716	-0.999023	0.285889	-0.593018	-1.343663	25.525405	-59.410643
49411		-4.351310	-0.241293	8.972974	-0.002717	0.002880	0.004710	-0.996338	0.287354	-0.594238	-1.342856	25.527717	-59.409625
49412		-4.293839	-0.256285	8.966962	-0.005151	0.000571	0.003201	-0.991211	0.288086	-0.590820	-1.343027	25.528065	-59.408018
49413		-4.351489	-0.241733	8.972875	-0.003225	-0.000377	0.002152	-0.998535	0.291016	-0.594727	-1.343173	25.528532	-59.407641
49414		-4.311519	-0.251707	8.982955	-0.005753	-0.000957	0.002716	-0.994141	0.294434	-0.593506	-1.343812	25.527998	-59.406319
49415		-4.344624	-0.261348	8.986569	-0.004549	0.002099	0.003687	-0.999023	0.286621	-0.598389	-1.344387	25.529858	-59.401872
49416		-4.333813	-0.247742	8.956840	-0.005220	-0.001501	0.004844	-0.998535	0.285889	-0.595947	-1.344135	25.529041	-59.399192
