// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
10290		9.662614	0.417012	-1.239099	-0.015465	-0.005411	0.003522	-0.567871	-0.496338	0.288818	169.571737	-82.254534	-68.519722
10291		9.699676	0.413510	-1.286520	-0.014334	-0.009979	0.001610	-0.572754	-0.499023	0.287598	169.575350	-82.245837	-68.528887
10292		9.704561	0.385711	-1.255867	-0.010024	-0.008768	0.002587	-0.572998	-0.490234	0.293213	169.597166	-82.237419	-68.552648
10293		9.697787	0.418479	-1.264444	-0.004733	-0.009467	0.003783	-0.573242	-0.495117	0.287109	169.615004	-82.228414	-68.569207
10294		9.714598	0.415730	-1.213286	-0.003218	-0.005182	0.001969	-0.571777	-0.485840	0.287842	169.635367	-82.221951	-68.587565
10295		9.663859	0.410934	-1.266473	0.000298	-0.005449	0.004385	-0.577393	-0.491211	0.287598	169.659231	-82.215759	-68.607437
10296		9.680653	0.420126	-1.318384	0.000708	-0.012823	0.002846	-0.579102	-0.488037	0.293213	169.691119	-82.205076	-68.635158
10297		9.660300	0.432892	-1.323613	0.005628	-0.006745	0.000723	-0.571289	-0.491211	0.285156	169.709830	-82.197862	-68.646073
10298		9.666884	0.399423	-1.316666	-0.000387	-0.008988	0.008551	-0.570068	-0.491943	0.291992	169.761554	-82.189920	-68.694450
10299		9.680370	0.418946	-1.320835	-0.004921	-0.006079	0.002123	-0.567139	-0.499023	0.297119	169.770420	-82.182879	-68.702228
10300		9.722706	0.473238	-1.355269	-0.000001	-0.000135	0.008650	-0.576904	-0.490234	0.283447	169.816090	-82.179932	-68.744272
10301		9.700835	0.490695	-1.335884	-0.007717	-0.003139	0.007983	-0.577393	-0.493896	0.281250	169.843146	-82.174998	-68.772188
10302		9.705798	0.462288	-1.304925	-0.019634	-0.009416	0.009065	-0.572510	-0.482178	0.287354	169.885989	-82.166852	-68.822735
10303		9.680311	0.416608	-1.322011	-0.024726	0.003526	0.006311	-0.579102	-0.492432	0.293213	169.899566	-82.166630	-68.847481
10304		9.653208	0.376407	-1.314911	-0.023599	-0.001043	0.004395	-0.576416	-0.487793	0.285156	169.914802	-82.162733	-68.872454
10305		9.653192	0.376274	-1.315069	-0.012069	-0.003621	0.003212	-0.580322	-0.494141	0.291748	169.928759	-82.157657	-68.889386
10306		9.634639	0.371623	-1.240480	-0.009534	-0.001979	0.005410	-0.577637	-0.483887	0.292480	169.956843	-82.153332	-68.919194
10307		9.670037	0.373410	-1.263877	-0.010978	-0.007454	-0.002495	-0.573975	-0.496094	0.291992	169.953096	-82.145229	-68.916756
10308		9.644690	0.414288	-1.300449	-0.004666	-0.010799	0.002709	-0.566650	-0.490723	0.289307	169.979240	-82.135655	-68.941791
10309		9.663156	0.406151	-1.273359	-0.009999	-0.009506	0.006371	-0.583008	-0.492920	0.292725	170.002336	-82.126808	-68.966773
10310		9.622626	0.431742	-1.282551	-0.010184	-0.006116	0.004714	-0.571777	-0.495361	0.280762	170.030019	-82.120073	-68.996555
10311		9.607329	0.416650	-1.256025	-0.009130	-0.009355	0.003864	-0.565674	-0.492188	0.293701	170.047002	-82.112089	-69.016214
10312		9.656276	0.438156	-1.283074	-0.006778	-0.004323	0.004406	-0.568359	-0.492920	0.295654	170.074010	-82.106333	-69.043346
10313		9.664468	0.400019	-1.299940	-0.011632	-0.011591	-0.003193	-0.573486	-0.497803	0.287354	170.057670	-82.094680	-69.028313
10314		9.720018	0.388887	-1.319538	0.002072	-0.005885	0.003158	-0.575439	-0.492920	0.284912	170.085717	-82.087917	-69.051375
10315		9.677812	0.420056	-1.305066	-0.006338	-0.012291	-0.001999	-0.578125	-0.499512	0.290527	170.079143	-82.077589	-69.045960
10316		9.681064	0.397556	-1.250782	-0.006558	-0.008308	0.001203	-0.568359	-0.494873	0.290771	170.095974	-82.069265	-69.062691
10317		9.704455	0.374209	-1.294910	-0.007466	-0.007725	-0.000081	-0.570801	-0.491699	0.288574	170.091506	-82.061070	-69.059223
10318		9.719573	0.389029	-1.322774	-0.009317	-0.005967	0.002208	-0.568359	-0.491455	0.292725	170.109117	-82.054166	-69.078340
10319		9.677410	0.420206	-1.307997	-0.013633	-0.007178	0.001230	-0.570801	-0.498291	0.301270	170.108849	-82.046238	-69.081740
10320		9.685662	0.381905	-1.324404	-0.005332	0.001291	0.003665	-0.572266	-0.494873	0.287842	170.129476	-82.043574	-69.101595
10321		9.672051	0.361747	-1.321295	-0.006561	-0.008309	0.001201	-0.574707	-0.491943	0.291748	170.131303	-82.034657	-69.102948
10322		9.702553	0.378947	-1.273314	0.003519	-0.000270	0.002415	-0.566895	-0.486328	0.288574	170.153015	-82.030987	-69.118779
10323		9.683950	0.386773	-1.301328	-0.003519	0.000270	-0.002415	-0.568115	-0.487549	0.284668	170.141552	-82.027118	-69.104897
10324		9.694307	0.417368	-1.256829	0.000540	0.006201	-0.002024	-0.573730	-0.489502	0.289795	170.139122	-82.026665	-69.098074
10325		9.674164	0.430397	-1.260384	-0.000403	0.007375	0.001549	-0.574463	-0.500244	0.292969	170.140554	-82.027556	-69.096048
10326		9.718006	0.394002	-1.298571	-0.005956	0.012795	-0.000231	-0.569580	-0.492188	0.299316	170.137008	-82.031001	-69.091857
10327		9.665772	0.394964	-1.326146	-0.012051	0.012013	0.000012	-0.570068	-0.495361	0.297363	170.117470	-82.033369	-69.074519
10328		9.693137	0.434890	-1.331445	-0.004547	0.019001	0.003886	-0.578613	-0.493408	0.286621	170.126974	-82.040722	-69.082689
10329		9.693371	0.434678	-1.329808	0.004451	0.014785	0.000503	-0.569092	-0.499756	0.292725	170.119396	-82.045318	-69.068617
10330		9.659784	0.427754	-1.329037	-0.002735	0.017979	-0.002195	-0.574707	-0.495850	0.293701	170.106087	-82.051496	-69.052705
10331		9.712376	0.427424	-1.298452	-0.007088	0.017504	-0.006965	-0.570801	-0.493896	0.289063	170.055469	-82.056577	-69.001995
10332		9.702299	0.397640	-1.341013	-0.004368	0.015752	-0.003111	-0.566162	-0.497070	0.290771	170.039026	-82.061405	-68.983863
10333		9.705864	0.375203	-1.284021	-0.008982	0.019849	0.000180	-0.571533	-0.482910	0.287842	170.014090	-82.068677	-68.960450
10334		9.694197	0.350108	-1.302521	-0.006298	0.018835	0.000244	-0.568848	-0.493164	0.294922	170.007880	-82.075576	-68.953767
10335		9.691086	0.360696	-1.253204	-0.000888	0.016218	-0.004485	-0.573975	-0.493652	0.294922	169.978556	-82.080320	-68.919866
10336		9.671102	0.386683	-1.358544	-0.000203	0.019762	-0.008646	-0.565430	-0.486084	0.296387	169.939050	-82.086852	-68.876041
10337		9.698459	0.414723	-1.260522	0.011979	0.021177	-0.000475	-0.570801	-0.498047	0.296387	169.928402	-82.094308	-68.852871
10338		9.649730	0.405477	-1.335047	0.008499	0.020855	-0.007753	-0.571533	-0.489746	0.288330	169.896599	-82.101542	-68.811792
10339		9.663594	0.426037	-1.336179	-0.003195	0.026077	-0.004448	-0.573975	-0.496826	0.283447	169.854604	-82.111765	-68.767110
10340		9.682463	0.418698	-1.305488	-0.004181	0.027985	-0.004669	-0.578857	-0.498291	0.292480	169.822725	-82.123325	-68.733290
10341		9.669202	0.399185	-1.299611	0.003952	0.023619	-0.005536	-0.568604	-0.487793	0.291748	169.781643	-82.132735	-68.686957
10342		9.684746	0.414288	-1.324742	0.005949	0.019063	-0.001308	-0.567871	-0.498779	0.291260	169.775689	-82.139601	-68.673450
10343		9.668203	0.417187	-1.374665	0.004931	0.021707	-0.005319	-0.573730	-0.494873	0.299072	169.736444	-82.147158	-68.626789
10344		9.631236	0.420914	-1.326051	0.000726	0.018432	-0.003580	-0.578369	-0.492432	0.289795	169.718603	-82.153435	-68.604305
10345		9.636380	0.393605	-1.292830	-0.001011	0.018270	-0.007221	-0.573975	-0.494629	0.290771	169.675005	-82.158984	-68.556338
10346		9.650162	0.414237	-1.294463	-0.007979	0.017334	-0.004484	-0.573242	-0.491699	0.297607	169.649210	-82.164544	-68.530859
10347		9.631911	0.422573	-1.320609	0.002237	0.022715	-0.005390	-0.578857	-0.490234	0.297363	169.610479	-82.172677	-68.485840
10348		9.633907	0.418013	-1.342301	-0.000297	0.021073	-0.007594	-0.574951	-0.492676	0.286865	169.573415	-82.180018	-68.444544
10349		9.634158	0.418706	-1.340285	-0.003782	0.020604	-0.006228	-0.573730	-0.493164	0.291748	169.532002	-82.187237	-68.400591
10350		9.661240	0.373584	-1.326483	-0.004456	0.017207	-0.010716	-0.575928	-0.493164	0.284912	169.482525	-82.192066	-68.349172
10351		9.653027	0.412629	-1.308756	-0.009612	0.015105	-0.005408	-0.569336	-0.492920	0.286621	169.442387	-82.196482	-68.310807
10352		9.648284	0.441106	-1.338884	-0.012034	0.011401	-0.004887	-0.582520	-0.495850	0.290283	169.416878	-82.198644	-68.287965
10353		9.639715	0.393887	-1.303112	-0.006581	0.008053	-0.005813	-0.571289	-0.490479	0.289795	169.381933	-82.199054	-68.253206
10354		9.631388	0.432700	-1.286163	-0.006581	0.008053	-0.005813	-0.579346	-0.490967	0.296143	169.358305	-82.199230	-68.229108
10355		9.655225	0.410078	-1.328495	-0.010255	0.010971	-0.006106	-0.576904	-0.504395	0.294678	169.320565	-82.200820	-68.192211
10356		9.636452	0.406342	-1.252928	-0.010816	0.005513	-0.007870	-0.580811	-0.492188	0.293457	169.288027	-82.199343	-68.161568
10357		9.662030	0.378684	-1.319269	-0.009272	0.009062	-0.005886	-0.566650	-0.490967	0.289307	169.249839	-82.199907	-68.124504
10358		9.638360	0.402645	-1.275166	-0.008287	0.007153	-0.005665	-0.571533	-0.492920	0.290039	169.226540	-82.199584	-68.101724
