// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
57364		-5.291869	-0.408363	8.275917	0.006916	-0.002241	0.007552	0.266846	0.550049	-0.666260	-2.844835	32.479842	-128.049097
57365		-5.256849	-0.368901	8.293696	0.008725	-0.007898	0.007722	0.263672	0.549561	-0.666992	-2.834577	32.471849	-128.040074
57366		-5.256718	-0.405078	8.273777	0.006492	-0.001599	0.005310	0.257080	0.544434	-0.663818	-2.826419	32.467483	-128.032766
57367		-5.274388	-0.375289	8.280071	0.007258	-0.004596	0.007407	0.261230	0.543213	-0.664307	-2.817267	32.461358	-128.024076
57368		-5.234390	-0.401658	8.329981	0.003863	-0.006171	0.007509	0.266602	0.547607	-0.674561	-2.809736	32.454435	-128.015127
57369		-5.288588	-0.425821	8.287894	0.004943	-0.000012	0.002605	0.257080	0.547119	-0.671631	-2.803473	32.450859	-128.009569
57370		-5.285020	-0.431625	8.329571	0.008401	-0.001131	0.006382	0.270264	0.538574	-0.672852	-2.793844	32.446786	-128.001554
57371		-5.302830	-0.401714	8.335774	0.009103	-0.001434	0.004602	0.262695	0.545898	-0.668457	-2.784262	32.442386	-127.995241
57372		-5.269970	-0.377682	8.322439	0.006492	-0.001597	0.005312	0.265381	0.542236	-0.666260	-2.776110	32.438015	-127.987939
57373		-5.270055	-0.414070	8.302403	0.005708	-0.003009	0.004704	0.262939	0.542236	-0.669434	-2.768615	32.432821	-127.980515
57374		-5.270036	-0.413167	8.302460	0.006656	0.001832	0.010090	0.273682	0.546631	-0.670654	-2.758694	32.430543	-127.970087
57375		-5.286205	-0.405102	8.319375	0.007256	-0.004594	0.007411	0.265869	0.548340	-0.674805	-2.749150	32.424632	-127.959981
57376		-5.303987	-0.412204	8.305584	0.010290	-0.005071	0.008946	0.257568	0.542236	-0.670166	-2.737445	32.418369	-127.950106
57377		-5.236408	-0.386666	8.289719	0.009083	-0.005841	0.006095	0.261475	0.547363	-0.668701	-2.727459	32.411415	-127.943010
57378		-5.288517	-0.358135	8.298684	0.005727	0.001400	0.003214	0.265869	0.542236	-0.674072	-2.720567	32.408697	-127.937233
57379		-5.267042	-0.392925	8.334285	0.005708	-0.003007	0.004706	0.269043	0.545898	-0.674072	-2.713044	32.403423	-127.930432
57380		-5.301206	-0.393429	8.337202	0.005708	-0.003007	0.004706	0.261963	0.550781	-0.667236	-2.705547	32.398221	-127.923504
57381		-5.286213	-0.377823	8.309937	0.007875	-0.006611	0.003245	0.266602	0.538330	-0.670166	-2.697409	32.390941	-127.916703
57382		-5.285676	-0.376997	8.310317	0.007875	-0.006611	0.003245	0.267334	0.555664	-0.679932	-2.689142	32.383636	-127.910653
57383		-5.286707	-0.354443	8.299996	0.004480	-0.008185	0.003347	0.260986	0.552734	-0.672607	-2.682668	32.375436	-127.904063
57384		-5.284352	-0.375719	8.311217	0.006306	-0.009433	0.002030	0.260742	0.544434	-0.673340	-2.675696	32.366482	-127.898750
57385		-5.317857	-0.376317	8.314561	0.007348	-0.012093	0.000106	0.269043	0.546875	-0.681885	-2.668983	32.355773	-127.895449
57386		-5.280635	-0.396395	8.323332	0.004718	-0.016662	0.002310	0.268066	0.549316	-0.671631	-2.662701	32.342688	-127.889722
57387		-5.295725	-0.425875	8.320953	0.006266	-0.018245	0.005020	0.265381	0.546631	-0.671143	-2.654412	32.328829	-127.881293
57388		-5.261259	-0.401820	8.308582	0.009982	-0.023431	0.006270	0.267090	0.548340	-0.670410	-2.643572	32.311973	-127.872679
57389		-5.188992	-0.419938	8.315001	0.012675	-0.021551	0.007950	0.256836	0.551514	-0.667480	-2.630717	32.296323	-127.861805
57390		-5.224883	-0.375701	8.297492	0.015434	-0.022360	0.013513	0.256836	0.541992	-0.668457	-2.614163	32.280267	-127.848332
57391		-5.183654	-0.401086	8.348156	0.011718	-0.017172	0.012266	0.262451	0.535645	-0.674561	-2.600666	32.266927	-127.836788
57392		-5.185960	-0.355873	8.327328	0.009934	-0.007112	0.010591	0.261719	0.542725	-0.665527	-2.588581	32.259517	-127.825774
57393		-5.203837	-0.362845	8.313537	0.011014	-0.000962	0.005675	0.261475	0.549805	-0.667236	-2.577603	32.255432	-127.818444
57394		-5.238513	-0.362993	8.316200	0.005561	0.007190	0.008128	0.263916	0.548340	-0.679443	-2.569148	32.256141	-127.809536
57395		-5.239170	-0.362275	8.315818	0.005411	0.008162	0.001856	0.256836	0.541016	-0.667480	-2.563285	32.257176	-127.804766
57396		-5.274287	-0.362980	8.318173	0.004286	0.009106	0.001392	0.272217	0.536865	-0.670898	-2.558025	32.258808	-127.800476
57397		-5.273020	-0.347257	8.348613	0.003501	0.007695	0.000786	0.261230	0.545410	-0.668457	-2.553236	32.259657	-127.795910
57398		-5.243104	-0.376679	8.283752	-0.001104	0.005349	-0.001962	0.264893	0.539795	-0.671631	-2.552215	32.259051	-127.793776
57399		-5.257874	-0.354211	8.331117	0.004201	0.007390	-0.000994	0.265869	0.532959	-0.673340	-2.547855	32.259617	-127.790737
57400		-5.242114	-0.324103	8.333904	-0.000722	0.011804	-0.005098	0.268555	0.541992	-0.667480	-2.547852	32.262626	-127.790920
57401		-5.243285	-0.361815	8.313244	-0.004902	0.008819	-0.005601	0.276855	0.535889	-0.674072	-2.550045	32.264027	-127.790299
57402		-5.260223	-0.355355	8.329585	-0.002292	0.008981	-0.006310	0.270020	0.545166	-0.677002	-2.551334	32.265390	-127.791217
57403		-5.224865	-0.376581	8.337128	-0.003077	0.007570	-0.006916	0.262695	0.550049	-0.668701	-2.552790	32.266194	-127.790398
57404		-5.278020	-0.386691	8.325446	-0.002376	0.007265	-0.008696	0.267822	0.542236	-0.671875	-2.554962	32.266515	-127.792880
57405		-5.283714	-0.358763	8.272731	-0.000404	0.005044	-0.003741	0.270020	0.541504	-0.672607	-2.554315	32.265741	-127.790939
57406		-5.229925	-0.371554	8.294502	-0.002737	0.005215	-0.007058	0.274170	0.534424	-0.664307	-2.556068	32.264931	-127.792248
57407		-5.244647	-0.349549	8.341898	0.001782	0.005846	-0.006695	0.267090	0.544189	-0.672852	-2.554755	32.264803	-127.790796
57408		-5.246710	-0.328000	8.330858	-0.003014	0.004882	-0.003032	0.264404	0.540283	-0.677246	-2.555207	32.263905	-127.789370
57409		-5.247116	-0.328688	8.330575	-0.005070	0.005387	-0.010373	0.257568	0.537109	-0.666260	-2.559308	32.263075	-127.792869
57410		-5.226035	-0.364955	8.365889	-0.003522	0.003805	-0.007663	0.262451	0.534180	-0.673096	-2.561706	32.261441	-127.794546
57411		-5.213525	-0.329141	8.327248	-0.005411	0.007743	-0.010229	0.261230	0.541016	-0.669922	-2.565968	32.261820	-127.799185
57412		-5.229035	-0.381916	8.334271	-0.003779	0.007877	-0.005132	0.260498	0.548096	-0.667725	-2.567665	32.262582	-127.799272
57413		-5.264150	-0.383753	8.336540	-0.003419	0.009928	-0.006769	0.259521	0.542480	-0.678467	-2.569979	32.264374	-127.800629
57414		-5.247014	-0.413169	8.329991	-0.001870	0.008346	-0.004060	0.257568	0.546143	-0.675537	-2.570202	32.265432	-127.800004
57415		-5.267408	-0.399842	8.304780	0.000380	0.006458	-0.003131	0.265625	0.545166	-0.672852	-2.568776	32.265113	-127.800628
57416		-5.249493	-0.354248	8.338651	0.006024	0.006146	-0.002303	0.264893	0.540039	-0.662109	-2.563806	32.264957	-127.798747
